Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
Simpleng Tulad Mo;1621;2024;1621BC EP;;https://open.spotify.com/track/2RyY8rnIHg5c3vJyYPg682;
Bababa;1621;2025;Single;;https://open.spotify.com/track/19BGZtnvH41wHrlW4h6SiG;
Manifest Mo Na 'Yan!;1621;2025;Single;;https://open.spotify.com/track/3MgP5TiGmKcG7jPLCfUV9O;
Diwata;1621;2025;Sapulso EP;;https://open.spotify.com/track/4p5vz0bZDmaV2vJqLUYvkD;
Maria;1621;2025;Sapulso EP;;https://open.spotify.com/track/72OddR6U5q7K6y117BQCvL;
Oh, Ano?;1621;;Unknown;;https://open.spotify.com/track/3pvDXA9FjDTHWKt9riw0NE;
Ikaw Lang;1621;;Unknown;;https://open.spotify.com/track/5KRZv1bK7rb7iff6t85nWm;
Orasan;1621;;Unknown;;https://open.spotify.com/track/5p3kx58Sn2SzGK6NkkNKlz;
Lulaley;1621;;Unknown;;https://open.spotify.com/track/3JLqLoKYvt6v5WXE8wAffy;
Manifest Mo Na 'Yan! - Single Edit;1621;;Unknown;;https://open.spotify.com/track/10S7RvaxeWovjG0Z4oJ4jV;
Diwata - Remix;1621;;Single;;https://open.spotify.com/track/6gTy8NEZwI0tXSYBP3Qd89;
Bababa - Remix;1621;;Single;;https://open.spotify.com/track/25TCokft9cfpg491OHohY8;
Maria - StarPop Live at The Playroom;1621;;Single;;https://open.spotify.com/track/0Q1wITIpM1TFRmh0Xx2HTD;
