Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
Your Love;1st.One;2023;Single;;https://open.spotify.com/track/4Db2snHTWWyl0kXAsTYuoQ;
Paalam Na;1st.One;2024;Single;;https://open.spotify.com/track/2RoYXP0MT3OaN0YoVDmZcK;
Wala Ng Iba;1st.One;2024;Single;;https://open.spotify.com/track/4arFAshDoIFZrCC13IsFgX;
Shout Out;1st.One;2025;Album;;https://open.spotify.com/track/1B51v16EQTHeDf6d5FG4E7;
Wala Ng Iba - Soul Version;1st.One;2025;Album;;https://open.spotify.com/track/61gCdLZ2ZmtBwrUebJUx9d;
Gusto Mo Ba;1st.One;2025;Single;jikamarie;https://open.spotify.com/track/3ZaUzQTo5l9bjnVM6fxgEK;
MYV;1st.One;2025;Single;;https://open.spotify.com/track/1psO1e62LmiEy8TEYXEdvG;
ALAM MO BA;1st.One;2025;Single;;https://open.spotify.com/track/0HL548HRCr2YmxS1ypBrhG;
Kung Saan Saan;1st.One;2026;Single;;https://open.spotify.com/track/2oScE0aYT62dUbct26WpY9;
Sulong;1st.One;;Single;;https://open.spotify.com/track/6kS1qmXd8lFxy6hpxX4voO;
