Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
Unleash The Diva;4TH IMPACT;2017;Single;;https://open.spotify.com/track/3aABBsAlyw8CwAmCFDsE0i;
It's Not the Same Anymore - From "Ang Dalawang MRS. Reyes";4TH IMPACT;2018;Single;;https://open.spotify.com/track/2Kpy0fpPA26pXsE2y8ntSW;
D' Nah Nah (Shaky Bum Bum);4TH IMPACT;2018;Single;Tony Valor;https://open.spotify.com/track/6qGvcLOCgnYvAvdawuNuTk;
Take My Breath Away;4TH IMPACT;2018;Single;Tony Valor;https://open.spotify.com/track/1TXTaN5yEsmNJ2nuQr5Atx;
Take My Breath Away - Original R&b Version;4TH IMPACT;2019;Single;;https://open.spotify.com/track/2EDcAfHCWBBdfDDjib6WFv;
K(NO)W MORE;4TH IMPACT;2020;Single;;https://open.spotify.com/track/2bWAhlpCndkNyt0WwnsuKu;
Here We Go;4TH IMPACT;2022;Here We Go EP;;https://open.spotify.com/track/76rUYrGjL6FBFpmYaKdROt;
K(NO)W MORE;4TH IMPACT;2022;Here We Go EP;;https://open.spotify.com/track/5DKuy6t0kDV2tOCCSwMCEr;
Here We Go (Instrumental);4TH IMPACT;2022;Here We Go EP;;https://open.spotify.com/track/4Yxj6FYNssUVOXDlSNSGW1;
K(NO)W MORE (Instrumental);4TH IMPACT;2022;Here We Go EP;;https://open.spotify.com/track/58arOLwkUFaCaArOGkvIpi;
Tapat Sa'yo;4TH IMPACT;2022;Single;;https://open.spotify.com/track/37kaRD1lmVWLCAFmjIMDWW;
DISTORTED;4TH IMPACT;2023;Single;;https://open.spotify.com/track/4xJGKuUcEE45BzZWyZbjnb;
ALL AT ONCE;4TH IMPACT;2023;Single;;https://open.spotify.com/track/6oGQ5HaeOHdpFx236B7bCM;
DISTORTED;4TH IMPACT;2024;4TH IMPACT EP;;https://open.spotify.com/track/2XY6lrjQOSmPL8ZInudHSf;
ROUND AND ROUND;4TH IMPACT;2024;4TH IMPACT EP;;https://open.spotify.com/track/2FvynAkx8aNBS1Xd8IoQ32;
ALL AT ONCE;4TH IMPACT;2024;4TH IMPACT EP;;https://open.spotify.com/track/4HFQyE9Hp1NvukHv1HpcdN;
FEBRUARY;4TH IMPACT;2024;4TH IMPACT EP;;https://open.spotify.com/track/09SqJa96JnuHPBNkP80fNr;
HATE THAT GIRL;4TH IMPACT;2024;4TH IMPACT EP;;https://open.spotify.com/track/05i4UKtDuU7GonGnbr3vt6;
JINGLE BELL ROCK;4TH IMPACT;2025;Single;;https://open.spotify.com/track/57QLU7diwgV7Nho1J2Rt5Y;
I Bet You Never;4TH IMPACT;2025;Single;;https://open.spotify.com/track/2wiaZPeSOzgXmZIdSWTfgw;
GOLDEN;4TH IMPACT;2025;Single;;https://open.spotify.com/track/50GvJRr2LoWsMcbP1JMqfN;
