Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
Luha;Adie;2020;Single;;https://open.spotify.com/track/2f0T6IDfPT9sNJqqJxEOTR;
Luha;Adie;2020;Single;;https://open.spotify.com/track/0bkD3c7Z6JUkJ0yERbFLUN;
Paraluman;Adie;2021;Single;;https://open.spotify.com/track/2jbf9EytR7fzpSrPWAYCf9;
Paraluman;Adie;2021;Single;;https://open.spotify.com/track/5Hm2MJQ4ECvQmH5QWCMQrR;
Dungaw;Adie;2021;Single;;https://open.spotify.com/track/0gDzFm0j00WYab5fuFbHW8;
Paraluman;Adie;2021;Paraluman (Original Soundtrack From The Vivamax Movie) - Single;;https://open.spotify.com/track/66TgSkYVUd1ROgqlzYVQcX;
Luha;Adie;2021;Paraluman (Original Soundtrack From The Vivamax Movie) - Single;;https://open.spotify.com/track/3Lk6A2zXuiXN23dZ8XflRq;
Paraluman;Adie;2021;Paraluman (Original Soundtrack from the Vivamax Movie) - EP;;https://open.spotify.com/track/5sj6pEPMrQBrLqdwpSHALU;
Luha;Adie;2021;Paraluman (Original Soundtrack from the Vivamax Movie) - EP;;https://open.spotify.com/track/36vnJoztPL2VS4M2QAxB4R;
Sawa Na;Adie;2021;Single;;https://open.spotify.com/track/1ZpXSfkQVQTwB6MbWpzsZW;
Tahanan;Adie;2021;Single;;https://open.spotify.com/track/0R14hunYxRvkNZue5WL4Oc;
You'll Be Safe Here;Adie;2022;Single;;https://open.spotify.com/track/4whLOE7hwNIAykoMcSZmvO;
You'll Be Safe Here;Adie;2022;366 (Original Soundtrack from the Vivamax Movie);;https://open.spotify.com/track/5aLnnQco1X4HO3Ruixhqi3;
Mahika;Adie;2022;Single;Janine Berdin;https://open.spotify.com/track/47sq83n5WN22ZzYnGn8aTy;
Kabado;Adie;2022;Single;;https://open.spotify.com/track/7oLe1cVRqLpoH2NozJ78mh;
Tinatangi;Adie;2022;Single;Chrstn;https://open.spotify.com/track/5Pgssd39LAfVsR9gvUVwU7;
Kursunada;Adie;2023;Single;;https://open.spotify.com/track/0vDzg5rADviX5YizHGo6UU;
Mahika;Adie;2023;For The Love (Soundtrack from the TV Series);Janine Berdin;https://open.spotify.com/track/6uJAJ35eYvwrjLOHyhM9Ds;
Senaryo;Adie;2023;Senaryo (Album);;https://open.spotify.com/track/2JR5hem9dWtiidDXq7l2mL;
Mahika;Adie;2023;Senaryo (Album);Janine Berdin;https://open.spotify.com/track/2nqlM3gNBMi5Zf9MDzp2Xi;
Kursunada;Adie;2023;Senaryo (Album);;https://open.spotify.com/track/2nFlnxNDXuehBDacr9SLKD;
G.K.Y.A.M.;Adie;2023;Senaryo (Album);;https://open.spotify.com/track/75ehhpTqolwwvZuzCjCXof;
Token;Adie;2023;Senaryo (Album);;https://open.spotify.com/track/38cwyTLnrwh5TjKKJTsPiB;
Paraluman;Adie;2023;Senaryo (Album);;https://open.spotify.com/track/1etOJ1EIVf7Qf51rmm0Zmd;
Kabado;Adie;2023;Senaryo (Album);;https://open.spotify.com/track/4aa8nlykW7j4jeBLeKQRyN;
Tahanan;Adie;2023;Senaryo (Album);;https://open.spotify.com/track/7oMCyUv2mpT7Q4FWHnX2hZ;
Ewan;Adie;2023;Senaryo (Album);;https://open.spotify.com/track/74c7i29BgMJ1pg7ZUcCkgC;
Dungaw;Adie;2023;Senaryo (Album);;https://open.spotify.com/track/2omGykRRSHw5G0zncnY7v0;
Paumanhin;Adie;2023;Senaryo (Album);Flow G;https://open.spotify.com/track/3tSRjmIZdw0d8S36aJDsEu;
Hoy!;Adie;2023;Senaryo (Album);;https://open.spotify.com/track/7kTlnlBIKQvt2dQD1f58kE;
Paralumbay;Adie;2023;Senaryo (Album);;https://open.spotify.com/track/7yPPbO3KrSwryBbGnI8QAW;
Closer You and I;Adie;2024;Single;;https://open.spotify.com/track/4yefFdkOF4T8rN6OAO7RIP;
Oh, Giliw;Adie;2024;Single;;https://open.spotify.com/track/5oV4B6QECdCASfEfElcIQA;
Nobya;Adie;2024;Single;;https://open.spotify.com/track/6eBIvH2ARm4psC3kkbARSn;
balik;Adie;2024;Single;Dom Guyot;https://open.spotify.com/track/0ggYDzLfMhAzbcWqoyXGKX;
Ms. Pakipot;Adie;2025;Single;;https://open.spotify.com/track/0JkoOMtuZZ7wFqq1fnS5v5;
Umpisa;Adie;2025;Single;Moira Dela Torre;https://open.spotify.com/track/54zafUdXhsrckhrBF4PmmP;
Piliin;Adie;2025;Single;;https://open.spotify.com/track/6NTsYsrWYtsXhTPNZAV0Dp;
Paralisado;Adie;2026;Single;Arthur Nery;https://open.spotify.com/track/0uLaVOitbCPo8xOnFbYcfD;
Panatag;Adie;;Single;;https://open.spotify.com/track/5obkQ3qSb30bFrda9rgtd7;
