Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
kbye;ALAMAT;2021;Single;;https://open.spotify.com/track/4kx1jGLJnqR0xxQMHMbcJz;
kasmala;ALAMAT;2021;Single;;https://open.spotify.com/track/0s5J5E2DvVS1Gp8z4UjEJx;
porque;ALAMAT;2021;Single;;https://open.spotify.com/track/3jIFCNq5TcMGjKFEvZTn6n;
Aswang;ALAMAT;2022;Pasulong EP;;https://open.spotify.com/track/7oyTTvPsNZQ0uIlh00orXm;
Maharani;ALAMAT;2022;Pasulong EP;;https://open.spotify.com/track/6KAnNItOZJ85PT3s0KqMgT;
ILY ILY;ALAMAT;2022;Pasulong EP;Lyca Gairanod;https://open.spotify.com/track/3PSm4ecTV81zaMQRUsfHu3;
Gayuma;ALAMAT;2022;Pasulong EP;;https://open.spotify.com/track/6afFPpTmuVBwZ8OpCSBSYe;
Say U Love Me;ALAMAT;2022;Pasulong EP;;https://open.spotify.com/track/5gfmzr2KPO7lu5f1hNX8QU;
Hala;ALAMAT;2022;Pasulong EP;;https://open.spotify.com/track/0mmAeb3RATkxm4ZvI6qZny;
Sa Panaginip Na Lang;ALAMAT;2022;Single;;https://open.spotify.com/track/6l2ThRggrbKRQF5fZs3qOF;
Dagundong;ALAMAT;2023;IsaPuso;;https://open.spotify.com/track/3cAcIiIJ7VJeKjTqeTzjMf;
Dayang;ALAMAT;2023;IsaPuso;;https://open.spotify.com/track/7oLEl2cupe0UTJNj3aHFou;
Noli;ALAMAT;2023;IsaPuso;;https://open.spotify.com/track/39yvrScFBJuubwGY2yghAl;
Manila Dreams;ALAMAT;2023;IsaPuso;;https://open.spotify.com/track/5Yx5xI0Lcp0wwx3cpWIMeO;
Day and Night;ALAMAT;2023;IsaPuso;;https://open.spotify.com/track/12NU0eZeogiWysYpXKOhrY;
Multo;ALAMAT;2023;IsaPuso;Cursebox;https://open.spotify.com/track/58aSRuhbw21XWEPrc55sh2;
Walang Hanggan;ALAMAT;2023;IsaPuso;;https://open.spotify.com/track/3VTlZgkr3WQWuGawdwXWSV;
Dong-Dong-Ay;ALAMAT;2023;IsaPuso;;https://open.spotify.com/track/6GN5uIfeWoZyWZQaX69hDh;
Hiraya;ALAMAT;2024;Single;;https://open.spotify.com/track/3J6JAjVMulZrR4LvRaMt4E;
Ngayong Gabi;ALAMAT;2024;Single;;https://open.spotify.com/track/5dFGhDHEe2Wd3Wj8Rk4Gzw;
LuzViMinda;ALAMAT;2025;DESTINO;;https://open.spotify.com/track/2PZgVM7Dsl6zq9Y13UeFne;
Sinigang;ALAMAT;2025;DESTINO;;https://open.spotify.com/track/2EzjRBSkVsPwprmOpM7TvR;
Hapag;ALAMAT;2025;DESTINO;;https://open.spotify.com/track/3XTtXM3opfJyYmNE23CkOp;
Pagbigyan (Bad Decisions);ALAMAT;2025;DESTINO;;https://open.spotify.com/track/02ogG8G6ISEmwbQHubVuGq;
Pangako (Sa Puso Mo);ALAMAT;2025;DESTINO;;https://open.spotify.com/track/1xu2pd5jUOLWwTQptGbFmF;
Don't Wanna Dance;ALAMAT;2025;DESTINO;;https://open.spotify.com/track/6mHbVYHwyBAJaGxyLjb0Pm;
Sa 'Yo Pa Rin Uuwi;ALAMAT;2025;DESTINO;;https://open.spotify.com/track/0E193kIgO8WjOQnWESYwq1;
Yugto;ALAMAT;;Unknown;;https://open.spotify.com/track/20BBebRQfSL2C6NENXGlhN;
Sinta;ALAMAT;;Unknown;;https://open.spotify.com/track/31WMUS1MCbp9MGjlpnDzIU;
