Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
You Make It Right;Amiel Sol;2020;Single;;https://open.spotify.com/track/4hvxN4lQyBT1IlmVtoPp0D;
Gunita;Amiel Sol;2020;Single;;https://open.spotify.com/track/4mP0YvaBZzFdaExa2oVqoh;
A Day With You;Amiel Sol;2020;Single;;https://open.spotify.com/track/776071VJ3kq5NCWYLQfBDb;
Getting By;Amiel Sol;2020;Single;;https://open.spotify.com/track/56LHyKt04pW2J9UBcWaXfK;
Back Of My Mind;Amiel Sol;2020;Single;;https://open.spotify.com/track/33P6MgPn9UIJCBtlBOc1Kh;
Futures;Amiel Sol;2021;Single;;https://open.spotify.com/track/0PPs7AEcReZbl3Z2X3J57S;
Paglayag;Amiel Sol;2021;Single;;https://open.spotify.com/track/3WG58SLOv0knpDhSNTFcgM;
Stories About Her;Amiel Sol;2021;Single;;https://open.spotify.com/track/0FKFTRfepI88kHmJRAbU9A;
A Day With You;Amiel Sol;2022;L (Liko, Larawan, Lipat) [Original Soundtrack from the Vivamax Movie];;https://open.spotify.com/track/0AU5kCZXCh0iZ7fvO3iDSb;
Gunita;Amiel Sol;2022;L (Liko, Larawan, Lipat) [Original Soundtrack from the Vivamax Movie];;https://open.spotify.com/track/37l0TZHfapeDy9R1hLvyzc;
Fading Away;Amiel Sol;2022;L (Liko, Larawan, Lipat) [Original Soundtrack from the Vivamax Movie];;https://open.spotify.com/track/6Kk5h8KKWWG6yHfiYoPfTR;
Fading Away;Amiel Sol;2022;Single;;https://open.spotify.com/track/6MoH7rBlBs47ioEKP3ayeW;
Di Na Akin;Amiel Sol;2022;Single;;https://open.spotify.com/track/3szCjynFwrruo9wiW8rz0g;
Back Of My Mind;Amiel Sol;2023;Baby Boy Baby Girl (Original Movie Soundtrack);;https://open.spotify.com/track/5w7ajU54S8G6Ghylre3A3p;
Ikaw Lang Patutunguhan;Amiel Sol;2023;Single;;https://open.spotify.com/track/7rpQzmMwS1yW1f0oWxBS9z;
Ngayon at Kailanman;Amiel Sol;2024;Single;;https://open.spotify.com/track/3AIv4AnrINTl4Hk11oFTOX;
Soup;Amiel Sol;2024;Single;;https://open.spotify.com/track/4VfVkUe7wRRRatavXrLo6R;
Sa Bawat Sandali;Amiel Sol;2024;Single;;https://open.spotify.com/track/06IkOr83qPqa3yYvrIjgxp;
Sa Bawat Sandali;Amiel Sol;2025;Ang Mutya Ng Section E (A Viva One Original Series Soundtrack);;https://open.spotify.com/track/36j0S14PwokV6odi07bVm4;
Nahanap Kita;Amiel Sol;2025;Single;;https://open.spotify.com/track/0GD9U8EM8xcPvuaA50Wzpe;
Pagdating Ng Panahon;Amiel Sol;2025;SWABE;;https://open.spotify.com/track/6CagkxivlHOti8g8ULAXBq;
Nahanap Kita;Amiel Sol;2025;Seducing Drake Palma (A Viva One Original Series Soundtrack);;https://open.spotify.com/track/5tUj3wfgZBijMGhJLEBX5c;
Balisong;Amiel Sol;2025;100 Awit Para Kay Stella (Original Movie Soundtrack);Shanne Dandan;https://open.spotify.com/track/1vMgJYXHrt9OuOw6yk2FtS;
Tahimik Na Buhay Kapiling Ka;Amiel Sol;2025;Single;;https://open.spotify.com/track/6C6T5FSG8AZXgKPwZgVcNx;
Tahimik Na Buhay Kapiling Ka;Amiel Sol;2025;I Love You Since 1892 (A Viva One Original Series Soundtrack);;https://open.spotify.com/track/1HkY4xE7EQnq8ds3N5Nf9G;
Pakikinggan Kita;Amiel Sol;2025;Pagsibol EP;;https://open.spotify.com/track/6NV6wEZlMjZCHXtv3b3Ehv;
You Make It Right (You Always Do);Amiel Sol;2025;Pagsibol EP;;https://open.spotify.com/track/0ZUFEQheryIt3ZNj6X6W3o;
Nag-iisa Tayong Dalawa;Amiel Sol;2025;Pagsibol EP;;https://open.spotify.com/track/1vZxWWwQH8fdOfQKk7PSp6;
Tahimik Na Buhay Kapiling Ka;Amiel Sol;2025;Pagsibol EP;;https://open.spotify.com/track/1sqjjxxAZYaBdb89qKMUVj;
Nahanap Kita;Amiel Sol;2025;Pagsibol EP;;https://open.spotify.com/track/6QC94a0b5nf2hNWeMXnCff;
Sa Bawat Sandali;Amiel Sol;2025;Pagsibol EP;;https://open.spotify.com/track/4TC8aEZKsFJNdJeDgZ3qeU;
Pakikinggan Kita;Amiel Sol;2025;Ang Mutya Ng Section E Book 2 (The Dark Side) [A Viva One Original Series Soundtrack];;https://open.spotify.com/track/7L9cdAhFwW9aly8DYHNUGY;
Special Memory;Amiel Sol;;Unknown;;https://open.spotify.com/track/1gDcKkjtTczEUZUFGqiuMN;
Special Memory;Amiel Sol;;Unknown;;https://open.spotify.com/track/6PAA9FVDe8QnbFyJx76qze;
Kembot;Amiel Sol;;Unknown;;https://open.spotify.com/track/1vP1a1JlkSkcpnmZUQKERK;
Kalawakan;Amiel Sol;;Unknown;;https://open.spotify.com/track/4FjxWW5SwGmpqqQEaBIsXQ;
Hirap Aminin;Amiel Sol;;Unknown;;https://open.spotify.com/track/5ict8KX7EgYElOvsznnOMc;
Multo;Amiel Sol;;Unknown;;https://open.spotify.com/track/4SMC0bAilpgjSN8uBoEzXh;
Pag-ibig ng Ikaw at Ako;Amiel Sol;;Unknown;;https://open.spotify.com/track/0M9QtM9E6si36pm4ehiv05;
Dito Sa'kin;Amiel Sol;;Unknown;;https://open.spotify.com/track/0xSnI1a4z1mxvbyI3xiPGK;
Sugar Sugar;Amiel Sol;;Unknown;;https://open.spotify.com/track/2NDf2SfspzwObz8fkkHyYv;
Bahalahanap;Amiel Sol;;Unknown;;https://open.spotify.com/track/1Fywydv2R83PlZ16dFUHvt;
Pahina;Amiel Sol;;Unknown;;https://open.spotify.com/track/0M3agPcccUPsrurmccCFCx;
