Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
Letters Never Sent;Arthur Nery;2019;Letters Never Sent;;https://open.spotify.com/track/2kcF2hBLEPx6oD3KzKxASl;
Hung Up;Arthur Nery;2019;Letters Never Sent;;https://open.spotify.com/track/5YHXL4ggZEHZUgQBgLF0Oz;
Got Me Tangled;Arthur Nery;2019;Letters Never Sent;;https://open.spotify.com/track/4u64obrtHkeaBk9pmiaWdw;
Binhi;Arthur Nery;2019;Letters Never Sent;;https://open.spotify.com/track/0sNZsYY8LSCCM4tC2y0zR1;
I'd Still Kiss You;Arthur Nery;2019;Letters Never Sent;;https://open.spotify.com/track/4aEX8nrDpOxHve37fo8myJ;
Letters Never Sent II;Arthur Nery;2019;Letters Never Sent;;https://open.spotify.com/track/5Q44apDbGMoiGHqFMhafWU;
Favorite Vice;Arthur Nery;2019;Letters Never Sent;Meeks;https://open.spotify.com/track/3FejwInTNiOxTOu0b8V3XX;
Life Puzzle;Arthur Nery;2019;Letters Never Sent;;https://open.spotify.com/track/0fzqQpW4G1vxIC1MTlzeY0;
Higa;Arthur Nery;2019;Letters Never Sent;;https://open.spotify.com/track/7gfrASeOt73YWvpIv1fU8E;
Cotton Candy;Arthur Nery;2019;Letters Never Sent;;https://open.spotify.com/track/5eyQmt4Ba7ZzudMIqA6yKo;
Na naman;Arthur Nery;2024;II: The second;;https://open.spotify.com/track/3EMWqEJSk0wqwi5JUYA9l1;
I Gotchu;Arthur Nery;2024;II: The second;;https://open.spotify.com/track/1CsqHMbiESJ3WNivRPxJqj;
Di Nakakasawa;Arthur Nery;2024;II: The second;Kiyo;https://open.spotify.com/track/60mzK1F8VTNfWGaSFprYfI;
Lullaby;Arthur Nery;2024;II: The second;Jolianne;https://open.spotify.com/track/0aYQkDnWVFHScyvs1PmTN8;
Get Going;Arthur Nery;2024;II: The second;jon mejia;https://open.spotify.com/track/5vls9X7yraBXvqfAFYpTuU;
o ninanais;Arthur Nery;2024;II: The second;;https://open.spotify.com/track/2PCEvnMVqgUgq9RmmXWHvk;
Segundo, Siguro;Arthur Nery;2024;II: The second;;https://open.spotify.com/track/62nyaBKPLRSJnoz5xgVsaP;
Nasa'king Damdamin;Arthur Nery;2024;II: The second;;https://open.spotify.com/track/47Nu8iP24s6dzATvqHOYkH;
Foolish;Arthur Nery;2024;II: The second;;https://open.spotify.com/track/6CBECmTOulQcPCw3ufGtNk;
Paalam Lang Ang Palagi;Arthur Nery;2024;II: The second;;https://open.spotify.com/track/1Y5hN1zjgXTtssEYOrFciH;
Happy w u;Arthur Nery;2020;Single;Jason Dhakal;https://open.spotify.com/track/1n94XVEMS40MCW52AyLGDs;
TAKE ALL THE LOVE;Arthur Nery;2021;Single;;https://open.spotify.com/track/2v6jmF6VQWS96x6tSg05IC;
Pagsamo;Arthur Nery;2021;Single;;https://open.spotify.com/track/0WZqHCoOBXqgCCIsUZLC2a;
Isa lang;Arthur Nery;2021;Single;;https://open.spotify.com/track/0HAG6nIiEKd75yGpovuSJQ;
Sinag;Arthur Nery;2022;Single;Sam Benwick;https://open.spotify.com/track/5DARNIgi6aaJxGD5SKAUal;
Mikasa;Arthur Nery;2024;Single;Janine Berdin;https://open.spotify.com/track/12TuXwmfjap9XnPVtBHS8B;
Ayaw Baya;Arthur Nery;2025;Single;;https://open.spotify.com/track/42Xk3IBopZoqG5R9YSctGS;
Paralisado;Arthur Nery;2026;Single;Adie;https://open.spotify.com/track/0uLaVOitbCPo8xOnFbYcfD;
Higa;Arthur Nery;2024;Elevator (OST);;https://open.spotify.com/track/3EJpFH1jtgsocLynmFDuDm;
Pelikula;Arthur Nery;2021;Single;Janine;https://open.spotify.com/track/663vZfMh88Uo2bfTx6wiE4;
Turbo;Arthur Nery;2023;Single;MANILA GREY;https://open.spotify.com/track/6muijR8MRpGebvqYGirdnH;
Sabik;Arthur Nery;2023;LOVES7AGE;DENY;https://open.spotify.com/track/6vMDpwwkfsvSIsH6EVOgWz;
OYAYI;Arthur Nery;2024;Single;Alisson Shore, Keene Leonor;https://open.spotify.com/track/5iXSkIei0VoKtw8tpsupg3;
Palaisipan;Arthur Nery;2025;Single;Loonie;https://open.spotify.com/track/5Qsa2a1GStao34PdmEJUN2;
Palayo Sa Mundo;Arthur Nery;2025;Single;Jolianne;https://open.spotify.com/track/4FVZYiCvdLIX8NpcY0lzda;
Pagsamo;Arthur Nery;2021;My Husband, My Lover (OST);;https://open.spotify.com/track/7tomn3YvPcgIZZbpXHv8Sd;
Binhi;Arthur Nery;2021;Taya (OST);;https://open.spotify.com/track/1xAjV3G5Kp0nLDyCb09x0M;
TAKE ALL THE LOVE;Arthur Nery;2022;Kitty K7 (OST);;https://open.spotify.com/track/3cC0xDjDjjxNhy1oGQHvcN;
Desperado;Arthur Nery;;Unknown;;https://open.spotify.com/track/72XeWqmlGsMRl4ykDA6SXT;
Cloud9;Arthur Nery;;Unknown;;https://open.spotify.com/track/1NgJQ9qY2VuIHCVWH3fAl5;
Plorera;Arthur Nery;;Unknown;;https://open.spotify.com/track/1oAub6j4DVnezJR3RJJEDP;
Far Away;Arthur Nery;;Unknown;;https://open.spotify.com/track/2yBrI7DXeB85WDXWupqTE8;
Serbesa At Vino;Arthur Nery;;Unknown;;https://open.spotify.com/track/5u005Myk8eywfXfmYbmxWw;
What Did I Do;Arthur Nery;;Unknown;;https://open.spotify.com/track/7dRoWb6tgKxTnGQCJ4CwUk;
Double Timed;Arthur Nery;;Unknown;;https://open.spotify.com/track/1DFJNcHcyWMwHFSDoF1nG6;
