artist_name,artist_url
SB19,https://open.spotify.com/artist/3g7vYcdDXnqnDKYFwqXBJP
Ben&Ben,https://open.spotify.com/artist/4DAcJXcjX0zlQAZAPAx4Zb
BINI,https://open.spotify.com/artist/7tNO3vJC9zlHy2IJOx34ga
PABLO,https://open.spotify.com/artist/7wY8cwtF13xDJIHO7htMNk
JOSH CULLEN,https://open.spotify.com/artist/3xn2W0ziGURPYJj372a6jQ
Stell,https://open.spotify.com/artist/4bpUKZGsImgabgDABbThr0
Felip,https://open.spotify.com/artist/2tEFDBihLXytoPl4xdResl
justin,https://open.spotify.com/artist/20XuMlpFudMP9rDHMTkyar
Cup of Joe,https://open.spotify.com/artist/61nn6nOoLWjVC1ER2qFAvN
Dionela,https://open.spotify.com/artist/1chOgh5tgwfiyJ2zhUHwBj
FINIX,https://open.spotify.com/artist/6S937I133zM6smIrbfAVJt
Sarah Geronimo,https://open.spotify.com/artist/6aiCKnIN68hohzU3ZzNq48
G22,https://open.spotify.com/artist/4DsCOCoIUvUKVDDY8OW3lU
Zack Tabudlo,https://open.spotify.com/artist/67IN4cLJ7798gUapyZlmac
Moira Dela Torre,https://open.spotify.com/artist/0rZRTXEmmPmx6gt92tBqIc
Arthur Nery,https://open.spotify.com/artist/7uDdl5V5AETSFY7K3muu22
juan karlos,https://open.spotify.com/artist/0a4r2EnsevvHCukoJ1xFwJ
Dilaw,https://open.spotify.com/artist/6Dp4LInLyMVA2qhRqQ6AGL
Lola Amour,https://open.spotify.com/artist/29zSTMejPhY0m7kwNQ9SPI
SunKissed Lola,https://open.spotify.com/artist/4bLLB1dbsRVUTcMpnDGDO2
December Avenue,https://open.spotify.com/artist/4qFxP3qN9GsnZDOkAE6x2m
Parokya Ni Edgar,https://open.spotify.com/artist/2XHTklRsNMOOQT56Zm3WS4
Eraserheads,https://open.spotify.com/artist/7374lH6kwx9uQATYQ9H3Cp
Rivermaya,https://open.spotify.com/artist/1ZTdxfZTeztyAgKUJVLxAI
Sponge Cola,https://open.spotify.com/artist/1tXFYQZSAswt4JLB42lpye
The Itchyworms,https://open.spotify.com/artist/5cYJYBMg1n71v7cvthr1SO
IV of Spades,https://open.spotify.com/artist/4k9wp4ipHdA1bu1T4x1ZTG
Unique Salonga,https://open.spotify.com/artist/30mZI7Hw2MhoarTVYxfyZM
Orange & Lemons,https://open.spotify.com/artist/1EUmQM6xgUQLUkJVcvSdey
Silent Sanctuary,https://open.spotify.com/artist/4nGp682WMiKS4X217kPw8C
NOBITA,https://open.spotify.com/artist/5GVk1KCKa1tdHRev4bMw7V
Cup of Joe,https://open.spotify.com/artist/61nn6nOoLWjVC1ER2qFAvN
Adie,https://open.spotify.com/artist/1DlYnIiliftt6R21Y5NOW2
KZ Tandingan,https://open.spotify.com/artist/1mcqfNCReSFxun2vIWvC28
Gloc-9,https://open.spotify.com/artist/7HJDRQAfEcFiARVehhM6qD
Al James,https://open.spotify.com/artist/2G7VQ1kVhVfNagytlousgm
Shanti Dope,https://open.spotify.com/artist/6ogIjp0fsbUxlqy9q2rvrT
Flow G,https://open.spotify.com/artist/3PDFGpPl4ienSn5Vwisfrh
Regine Velasquez,https://open.spotify.com/artist/3wNylAjJX1PiCpMKx8Lrfp
Yeng Constantino,https://open.spotify.com/artist/0DnjaQqb436AH1idffI6CQ
Morissette,https://open.spotify.com/artist/62WbvkXqQGvXQvw74GU3kQ
