Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
BINGO;ASTER;2024;Single;;https://open.spotify.com/track/11wAuiW5VzDNivSumcqsSc;
A STAR;ASTER;2024;Single;;https://open.spotify.com/track/3pNipIZbDvaR4SYzDM5gwc;
LAYAG;ASTER;2025;Single;;https://open.spotify.com/track/6pzDAmiIU61tKVSyaOm7XD;
Tag-Araw ng Pilipinas;ASTER;2025;Single;;https://open.spotify.com/track/6T8Ddy9HMv3GAmJRc1KXy7;
FEEL THE WIN;ASTER;2025;Single;;https://open.spotify.com/track/2OgQfsksy8NpkOJ1lRUJSK;
MUNTING TALA;ASTER;2025;TALAYAG;;https://open.spotify.com/track/7t2E77nlzLHwHIVio1LoNl;
Isang Minuto;ASTER;2025;TALAYAG;;https://open.spotify.com/track/2LVYEggIVDeQpDspJ2PKDX;
VERONICA;ASTER;2025;TALAYAG;;https://open.spotify.com/track/5ylwmgcWE3y9tYCRJZU2w4;
AKLAS;ASTER;2025;TALAYAG;ASTER AXIS;https://open.spotify.com/track/3nQeZ4catiPxNoYxLVfiVI;
OTW;ASTER;2025;TALAYAG;ASTER ZODIAC;https://open.spotify.com/track/22gn09eCbrVulY3JtiywRH;
