Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
Bibingka;Ben&Ben;2016;Single;;https://open.spotify.com/track/3nmRSlzR7xtAo95GjfIahZ;
Susi (From the Film "GOYO - Ang Batang Heneral");Ben&Ben;2016;Single;;https://open.spotify.com/track/3I572cT9kECh41bZz2xPhy;
Ride Home;Ben&Ben;2017;Single;;https://open.spotify.com/track/1fXHTDYsJiFOjVWITaFp1j;
Kathang Isip;Ben&Ben;2017;Single;;https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh;
Leaves;Ben&Ben;2017;Single;;https://open.spotify.com/track/6wdCelHrPh7UfliNjwRTUv;
Maybe The Night;Ben&Ben;2017;Single;;https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei;
SUNRISE;Ben&Ben;2018;Single;;https://open.spotify.com/track/3pO8AS9mXlI85OsHbJa4Jf;
Branches;Ben&Ben;2018;Single;;https://open.spotify.com/track/3rheINeddqah49dElHlqbZ;
Ours;Ben&Ben;2018;Single;HARV;https://open.spotify.com/track/2Bb9MjP3gY9oaUXXJLFDVi;
Balik-Balikan;Ben&Ben;2018;Single;Sam Concepcion;https://open.spotify.com/track/3qHu91QoBFiGZL9yDSsOXY;
Bibingka;Ben&Ben;2018;Single;Sam Concepcion;https://open.spotify.com/track/7shxLPcozkKTGeJXl4Jett;
Dati (Cover Version);Ben&Ben;2018;Single;;https://open.spotify.com/track/48Utf6gNBC9rewCPEvL5ja;
Limasawa Street (Steve Lillywhite Mix);Ben&Ben;2019;LIMASAWA STREET;;https://open.spotify.com/track/7A3polZVo6cZW3CcrMGFvn;
Pagtingin;Ben&Ben;2019;LIMASAWA STREET;;https://open.spotify.com/track/5l9g7py8RCblcvbZgGQgSd;
Fall;Ben&Ben;2019;LIMASAWA STREET;;https://open.spotify.com/track/4SQ3HwsAiGTikY7gOAybwH;
Talaarawan;Ben&Ben;2019;LIMASAWA STREET;;https://open.spotify.com/track/65qee5VaBdavyP76V47Wr2;
Hummingbird;Ben&Ben;2019;LIMASAWA STREET;;https://open.spotify.com/track/7xzHDGXxOdIJcg2cyysE8i;
Mitsa (Salamat);Ben&Ben;2019;LIMASAWA STREET;;https://open.spotify.com/track/1PUWUlqe6m5HqX754lN3Bs;
Baka Sakali;Ben&Ben;2019;LIMASAWA STREET;Ebe Dancel;https://open.spotify.com/track/10LPu1YBDjhYOtEew5g5Of;
Lucena;Ben&Ben;2019;LIMASAWA STREET;;https://open.spotify.com/track/46FyIhNpuWTIxtKjALlZ9Y;
Sampaguita;Ben&Ben;2019;LIMASAWA STREET;;https://open.spotify.com/track/3uSLCrfK2gvBZ6OUuAdawA;
War;Ben&Ben;2019;LIMASAWA STREET;;https://open.spotify.com/track/1EEsKj8lQKZwaFXJ5GFsdk;
Godsent;Ben&Ben;2019;LIMASAWA STREET;;https://open.spotify.com/track/5KwhZikeUYYF6qzFZPsC2l;
Roots;Ben&Ben;2019;LIMASAWA STREET;;https://open.spotify.com/track/4m9kyXFCkyQewLshQBI9mC;
Araw-Araw;Ben&Ben;2019;LIMASAWA STREET;;https://open.spotify.com/track/4rG3h1QwgjSSWz8EIjCFrm;
Masyado Pang Maaga;Ben&Ben;2019;Single;;https://open.spotify.com/track/0luyrm1L6gjtoLekHOf67t;
Make It With You;Ben&Ben;2019;Single;;https://open.spotify.com/track/2Mo4pOpCYXOu33856sMQLh;
Sa Susunod na Habang Buhay;Ben&Ben;2020;Single;;https://open.spotify.com/track/3PgjBOoA5OytNGkglObpOd;
Doors;Ben&Ben;2020;Single;;https://open.spotify.com/track/37WFUZgkjJKLaISRcX0269;
Lifetime;Ben&Ben;2020;Single;;https://open.spotify.com/track/3X9c4tBzSdGhlO4Fx3WYgW;
Nakikinig Ka Ba Sa Akin;Ben&Ben;2020;Single;;https://open.spotify.com/track/74jVIbukOhR0Am7YXKiJMM;
Di Ka Sayang;Ben&Ben;2020;Single;;https://open.spotify.com/track/0V9rj37SqxF06EOV809odq;
Kuwaderno;Ben&Ben;2021;Pebble House, Vol. 1: Kuwaderno;;https://open.spotify.com/track/1kORxnBnxk57ZDioKp9pQD;
Kasayaw;Ben&Ben;2021;Pebble House, Vol. 1: Kuwaderno;;https://open.spotify.com/track/6pfFeZffoaxQGmvYSLM8wI;
Swimming Pool;Ben&Ben;2021;Pebble House, Vol. 1: Kuwaderno;Chito Miranda;https://open.spotify.com/track/6qS0J555KgzxQ01E8x6vux;
Elyu;Ben&Ben;2021;Pebble House, Vol. 1: Kuwaderno;;https://open.spotify.com/track/5otb0YFuK5z8ffisicdQfs;
Pasalubong;Ben&Ben;2021;Pebble House, Vol. 1: Kuwaderno;Moira Dela Torre;https://open.spotify.com/track/3HQirj18HMpG93YJBHGBl1;
Magpahinga;Ben&Ben;2021;Pebble House, Vol. 1: Kuwaderno;;https://open.spotify.com/track/1n36QJt9f05UqZkHyIEkVh;
Lunod;Ben&Ben;2021;Pebble House, Vol. 1: Kuwaderno;Zild, Juan Karlos;https://open.spotify.com/track/4vAYg1rLGyJiXUiU5LMdg3;
Sabel;Ben&Ben;2021;Pebble House, Vol. 1: Kuwaderno;KZ Tandingan;https://open.spotify.com/track/5FDLm9oybqGymDWXMRcGk9;
Kapangyarihan;Ben&Ben;2021;Pebble House, Vol. 1: Kuwaderno;SB19;https://open.spotify.com/track/6FFtbC1K2aNeCS376paoHN;
Sugat;Ben&Ben;2021;Pebble House, Vol. 1: Kuwaderno;Munimuni;https://open.spotify.com/track/52op5RbA65JSr7NnWCTWoi;
Upuan;Ben&Ben;2021;Pebble House, Vol. 1: Kuwaderno;;https://open.spotify.com/track/0G8EG6iSIvoeRwoFs0R89v;
Ilang Tulog Na Lang;Ben&Ben;2021;Pebble House, Vol. 1: Kuwaderno;;https://open.spotify.com/track/1wizf5O3ngQkyEIVlzTgW9;
Kayumanggi;Ben&Ben;2021;Pebble House, Vol. 1: Kuwaderno;;https://open.spotify.com/track/5YGnsANs7t65udKqIwtEGv;
Inevitable;Ben&Ben;2021;Single;;https://open.spotify.com/track/5eTytSrtW2P1pchAEfSTta;
Tuloy Na Tuloy Pa Rin Ang Pasko;Ben&Ben;2021;Single;;https://open.spotify.com/track/5ddSry66y3GorJF4P59a2p;
Leaves (feat. Young K);Ben&Ben;2021;Single;Young K;https://open.spotify.com/track/2zDCJxQALaKymrn3LdBFd0;
The Ones We Once Loved;Ben&Ben;2022;Single;;https://open.spotify.com/track/6YjKd9oPXKqjLUVPo4Y0oi;
Langyang Pag-Ibig;Ben&Ben;2022;Single;;https://open.spotify.com/track/3NxCPoPvxK6QQgmMCX6QYV;
Paninindigan Kita;Ben&Ben;2022;Single;;https://open.spotify.com/track/5d9Rka4T0szdC1MobhtXrV;
Mag-ingat;Ben&Ben;2022;Single;;https://open.spotify.com/track/5H7Q6oBminCDk7Xx99dJhp;
Dear;Ben&Ben;2022;Single;;https://open.spotify.com/track/3OlYxhUI4YtdVw2zZ85Syr;
Courage (Acoustic Ver.);Ben&Ben;2023;Single;;https://open.spotify.com/track/2qsd9R4G0g1dZwVejfGowK;
