Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
The Light;BGYO;2021;The Light;;https://open.spotify.com/track/6X7fvbcewXJtyfEtokQKXp;
He's Into Her;BGYO;2021;The Light;;https://open.spotify.com/track/76WBXsEyEPozYOjug4JdIp;
When I'm with You;BGYO;2021;The Light;;https://open.spotify.com/track/4mUOkjM8dm0NS8wf17AySE;
Fly Away;BGYO;2021;The Light;;https://open.spotify.com/track/04s1NaqqlvjIWbg2ZJGmA2;
The Baddest;BGYO;2021;The Light;;https://open.spotify.com/track/20bvFAx7LDYFui9dWBeWgq;
Rocketman;BGYO;2021;The Light;;https://open.spotify.com/track/7I6tZVZsTzWLT1YPK0Kkvf;
Sabay;BGYO;2021;The Light;;https://open.spotify.com/track/4io0iKmvgjAOrDxISj6UYL;
Kundiman;BGYO;2021;The Light;;https://open.spotify.com/track/2KjPP8NMROqq7Yfi8JtN96;
The Light (Bahasa Indonesia Version);BGYO;2021;The Light;;https://open.spotify.com/track/2ah7EWzvghfab3z8oLAIxF;
The Light (Japanese Version);BGYO;2021;The Light;;https://open.spotify.com/track/3D2ikeznU7ydcEjd6SxvTz;
The Light (Spanish Version);BGYO;2021;The Light;;https://open.spotify.com/track/1criLZoROzxT0PiidoDZD6;
The Light (Thai Version);BGYO;2021;The Light;;https://open.spotify.com/track/0Zrw9zK033FU8D0bknalVd;
Hello from BGYO!;BGYO;2021;Single;;https://open.spotify.com/track/3xKvLJ1uxsiwlD9J0whoU4;
Kulay (Miss Universe Philippines 2021);BGYO;2021;Single;;https://open.spotify.com/track/55HcwpBtgFIKmY1v1OZss8;
While We Are Young;BGYO;2021;Single;;https://open.spotify.com/track/2vy3BY9kUfhnjH9Ba7Jf18;
Runnin';BGYO;2021;Single;Keiko Necesario;https://open.spotify.com/track/1MlrhkFGRchXMPhDvMBUcl;
Feel Good Pilipinas;BGYO;2021;Single;KZ Tandingan;https://open.spotify.com/track/0MuUvMlpssQPq63U9aoli0;
Game On;BGYO;2022;Be Us;;https://open.spotify.com/track/6CeXFKTxP6cWXGCQJ3Jzw0;
Magnet;BGYO;2022;Be Us;;https://open.spotify.com/track/56vw2H9kJu8Iwa4MyFCT3f;
Be Us;BGYO;2022;Be Us;;https://open.spotify.com/track/6WmljxrwnVvBamaDWQdHq8;
Tumitigil Ang Mundo;BGYO;2022;Be Us;;https://open.spotify.com/track/0BveZyFZAU9GZ7qHTE77VC;
Panahon;BGYO;2022;Be Us;;https://open.spotify.com/track/1vO8t6ZUjJybJCsAvGWhCf;
PNGNP;BGYO;2022;Be Us;;https://open.spotify.com/track/48SCq3lsrSKW1pjjQ3QyMr;
Laro;BGYO;2022;Be Us;;https://open.spotify.com/track/2de3jAl2G6YHF6DJwlQuME;
Extraordinary;BGYO;2022;Be Us;;https://open.spotify.com/track/0HzBnwgcMUb5xJ5ogNjQ1r;
Mahal Na Kita;BGYO;2022;Single;;https://open.spotify.com/track/2lrLcdOUaKageXcqw4CLKz;
Best Time;BGYO;2022;Single;;https://open.spotify.com/track/67bB2y1BgbVJJ2iZPU8nCT;
Patuloy Lang Ang Lipad;BGYO;2022;Single;;https://open.spotify.com/track/6SCLUJuq19QSacE4oXqoqG;
He's Into Her (Remix);BGYO;2022;Single;;https://open.spotify.com/track/7z6ikVLk7KT5hlzyDWRkDR;
Up!;BGYO;2022;Single;BINI;https://open.spotify.com/track/7aii4AQA1uyyzGcfqtApy1;
Live Vivid;BGYO;2023;Single;;https://open.spotify.com/track/1gfOF7SHeNzfAVO4E73k45;
Gigil;BGYO;2024;Single;;https://open.spotify.com/track/05Db5b8xtLi32lJgKbDUus;
Patintero;BGYO;2024;Single;;https://open.spotify.com/track/3nupCyAjgcopsWicJpGk6D;
Uuwian;BGYO;2024;Single;JL Toreliza;https://open.spotify.com/track/5hfAiES72nZNflCQmolrGe;
Uuwian (Reprise);BGYO;2024;Single;;https://open.spotify.com/track/3TB5jSrRbM0uf1ghdTICAI;
Divine;BGYO;2025;BGYO;;https://open.spotify.com/track/3PKQwa7S5IHhstiTAxWNyL;
Trash;BGYO;2025;BGYO;;https://open.spotify.com/track/1t3lid2wFjY3WsBFIsdjWn;
Light My Fire;BGYO;2025;BGYO;;https://open.spotify.com/track/45A3RfixQDDqT4QCA77Vk7;
Heartstrings;BGYO;2025;BGYO;;https://open.spotify.com/track/1NSamMOkrVbbHMOrAmT2WB;
Andito Lang;BGYO;2025;BGYO;;https://open.spotify.com/track/7aeoDgZjdKShvg4JucW6tc;
All These Ladies;BGYO;2025;Headlines;;https://open.spotify.com/track/1N08zpJWDX4iaAeSrZtXua;
Dance With Me;BGYO;2025;Headlines;;https://open.spotify.com/track/4eDOey6H4uD1kmbP1MZLwO;
Aloe Vera;BGYO;2025;Headlines;;https://open.spotify.com/track/6nVm1CIsfoSDP2WmVYx3yo;
Headlines;BGYO;2025;Headlines;;https://open.spotify.com/track/0MOsW3XK5bPP0nbNhJz0eg;
Kabataang Pinoy;BGYO;2025;Single;Cloud 7;https://open.spotify.com/track/6NzrH7AYfJg44d4t6KT67Y;
