Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
Umaasa;Calein;2019;Single;;https://open.spotify.com/track/4AULw1VRyJP17zMvwgTIUs;
Huli Na;Calein;2021;Single;;https://open.spotify.com/track/3e1rn6HfJPJCaQ1lcCa0FR;
Parang May Kulang;Calein;2021;Single;;https://open.spotify.com/track/0rUznbizE5T52TtqVDbT6W;
Tayo Na Lang Dalawa;Calein;2023;Single;;https://open.spotify.com/track/46wCLroXaPDIUjT97ymooL;
Calein;Calein;2024;Calein EP;;https://open.spotify.com/track/7Er1JPdDuf6kjspKF2hKCE;
Pahinga;Calein;2024;Calein EP;;https://open.spotify.com/track/6MRlZYNqjcHThri7PBhFN7;
Tanging Ikaw;Calein;2024;Calein EP;;https://open.spotify.com/track/3phvpwYGNTQSPW6TZD0gns;
Pahinga (Tahan na);Calein;2024;Calein EP;;https://open.spotify.com/track/0dstyeKXlV0UUE8Kr5oXDf;
Awatin;Calein;2025;Single;;https://open.spotify.com/track/5q0b9HzHrJ0COmFx7Hsulg;
Sa Akin;Calein;;Single;;https://open.spotify.com/track/2v45munevlvd1txsa6cNRx;
Mahal Ko;Calein;;Single;;https://open.spotify.com/track/657JgEmBhkPXC6ISFcqp1O;
Pwede pa ba akong magmahal;Calein;;Single;;https://open.spotify.com/track/7AZ98Ffoev3GiQH7WXhHbS;
