Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
Race Car;CALISTA;2022;Single;;https://open.spotify.com/track/5UhQBEV8sUkc2wuokFRuHd;
Race Car;CALISTA;2022;Single;;https://open.spotify.com/track/6nKjUVMtYE0WzNDaXZBRDe;
Don't Have Time;CALISTA;2022;Single;;https://open.spotify.com/track/1PqoK5ckO0XzVbYc0t8WKP;
Christmas Rush;CALISTA;2022;Single;;https://open.spotify.com/track/45tMO5KuVSuFpsjVuvmcQY;
Christmas Rush;CALISTA;2022;Single;;https://open.spotify.com/track/2gvmPwzclwLPWr7jcTZaLN;
Christmas in the Philippines;CALISTA;2022;Single;;https://open.spotify.com/track/6naGU6dWSi9AHnjoXEDsG4;
Ugnayan;CALISTA;2023;Single;;https://open.spotify.com/track/4RfradnUNV7yANUSn2KN2K;
LMK (Let Me Know);CALISTA;2024;Single;;https://open.spotify.com/track/1O3tQTpMDXXz2fsh2JV4Y9;
Ugnayan - Remix;CALISTA;2024;Single;;https://open.spotify.com/track/2LEhj8QCIMFLyGX7JUcFN9;
LMK (Let Me Know);CALISTA;2025;EP - FOUR;;https://open.spotify.com/track/7rY3wYRF5RDMDuaemWCd43;
Bongga Ka Day;CALISTA;2025;EP - FOUR;;https://open.spotify.com/track/0H4wmt3OiHAcUhO5KTajrR;
OOPS MY BAD;CALISTA;2025;EP - FOUR;;https://open.spotify.com/track/2bZnCn4TNQrRuXlPuJJg3D;
Alas Dose;CALISTA;2025;EP - FOUR;;https://open.spotify.com/track/1dPPSQGwHRywRSLWAk6Mk6;
'Wag Na;CALISTA;2025;EP - FOUR;;https://open.spotify.com/track/6enDMHrF0DpwBi713BurRn;
