Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
Stay;Cueshé;2005;Half Empty, Half Full;;https://open.spotify.com/track/1jImST6hhs1EV45p78RBpM;
Sorry;Cueshé;2005;Half Empty, Half Full;;https://open.spotify.com/track/36TmbWEYoNKtAk91ch8aY7;
Ulan;Cueshé;2005;Half Empty, Half Full;;https://open.spotify.com/track/6s97fltVQXax4ZFkZJdGdP;
Hump Ahead;Cueshé;2005;Half Empty, Half Full;;https://open.spotify.com/track/6IMPu2N7NIMO0qT9ekbZ7L;
Here For You;Cueshé;2005;Half Empty, Half Full;;https://open.spotify.com/track/6jrqrTzWaGUD5EP6y1fqBN;
Never Leave;Cueshé;2005;Half Empty, Half Full;;https://open.spotify.com/track/62OJVx817GUxEmmqJzfit9;
24 Hours;Cueshé;2005;Half Empty, Half Full;;https://open.spotify.com/track/2QCclKN3S3hWdq3emjWpQQ;
Sky;Cueshé;2005;Half Empty, Half Full;;https://open.spotify.com/track/4I0vz8IVm4WudZ73DUEgQa;
Love Me Now, Hate Me Soon;Cueshé;2005;Half Empty, Half Full;;https://open.spotify.com/track/1oX1vI4QAOwwTYx50PiCGk;
Can't Let You Go;Cueshé;2005;Half Empty, Half Full;;https://open.spotify.com/track/6eYuYqJ9IqYWbH8rFhm7jC;
When I'm With You;Cueshé;2005;Half Empty, Half Full;;https://open.spotify.com/track/4w7AyBnJXm5JU7tvc3j48l;
Stay (Acoustic);Cueshé;2005;Half Empty, Half Full;;https://open.spotify.com/track/12qMGQ5k2lt49NtwA9isOp;
Hard To Believe;Cueshé;2005;Ultraelectromagnetic Jam;;https://open.spotify.com/track/35TvpVB0nRHRk5nQqao1L8;
Borrowed Time;Cueshé;2006;Back To Me;;https://open.spotify.com/track/4rmxojAE3CI7vuIvKVBCkT;
Back To Me;Cueshé;2006;Back To Me;;https://open.spotify.com/track/2naBC3Io7lDTYZEUHu34Or;
I Won't Let You Down;Cueshé;2006;Back To Me;;https://open.spotify.com/track/1cFwqsauMs8aPn1RmXqhMp;
All I Want;Cueshé;2006;Back To Me;;https://open.spotify.com/track/75OEwP50O54w5bWEBrIWZi;
I Do;Cueshé;2006;Back To Me;;https://open.spotify.com/track/4K196gSdvB6CFEbts5Bq4c;
Bakit?;Cueshé;2006;Back To Me;;https://open.spotify.com/track/7IOhHRFxTZZ4CQjBvESowE;
Broken Into Pieces;Cueshé;2006;Back To Me;;https://open.spotify.com/track/4KQhBsm0TQvjCaTjZdTiKp;
Today;Cueshé;2006;Back To Me;;https://open.spotify.com/track/2fhOQFwGrC1P1HkZd7wQYD;
If You Need Me;Cueshé;2006;Back To Me;;https://open.spotify.com/track/5dRwv4yt7bZsYN7IswSRHv;
Missing You;Cueshé;2006;Back To Me;;https://open.spotify.com/track/3z5O5VSNxHJJCtwM0AKEf0;
Pasensya Na;Cueshé;2006;Back To Me;;https://open.spotify.com/track/49pOQUAKwPvjUqQxrZTKfq;
