Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
City Lights;December Avenue;2017;December Avenue;;https://open.spotify.com/track/697IbjmVbS0WHKtnTELl28;
Sleep Tonight;December Avenue;2017;December Avenue;;https://open.spotify.com/track/0KzB2OAG7oYEPOsNcXf6T6;
Fallin';December Avenue;2017;December Avenue;Clara Benin;https://open.spotify.com/track/6uEbzsk9Yd9zXRG2yBIi0n;
Ears and Rhymes;December Avenue;2017;December Avenue;;https://open.spotify.com/track/5BD8R2Pia1PVgigtXzNRgf;
I'll Be Watching You;December Avenue;2017;December Avenue;;https://open.spotify.com/track/4ebS8gRsLGEGj2WuWxoRCw;
Back to Love;December Avenue;2017;December Avenue;;https://open.spotify.com/track/3UWiaiNoFJeAUrfeD1VsxI;
Eroplanong Papel;December Avenue;2017;December Avenue;;https://open.spotify.com/track/7MrDNu3hC1MjczXhi1citM;
Dive;December Avenue;2017;December Avenue;;https://open.spotify.com/track/4pLmH9m91KyK8niExb4FqX;
Forever;December Avenue;2017;December Avenue;;https://open.spotify.com/track/7DoNgStBB6xFiCTZArAN15;
Breathe Again;December Avenue;2017;December Avenue;;https://open.spotify.com/track/6hkF8mX99UDWUoHQ6xwsjK;
Time to Go;December Avenue;2017;December Avenue;;https://open.spotify.com/track/3rUM8jx286gnBExSGYrV8f;
Bulong;December Avenue;2019;Langit Mong Bughaw;;https://open.spotify.com/track/5rV7xueHNNXaZqOLroaUta;
Kung 'Di Rin Lang Ikaw;December Avenue;2019;Langit Mong Bughaw;Moira Dela Torre;https://open.spotify.com/track/2KjZEVkRS7wStfRygdRnso;
Magkunwari ('Di Man Tayo);December Avenue;2019;Langit Mong Bughaw;;https://open.spotify.com/track/3bJy1UduTNMnnk1soBYyrK;
Muling Magbabalik;December Avenue;2019;Langit Mong Bughaw;;https://open.spotify.com/track/0Feg1cg32vp3EmVwEvSYFE;
Sa Ngalan Ng Pag-Ibig;December Avenue;2019;Langit Mong Bughaw;;https://open.spotify.com/track/1FnPkOlWCMwRtfXeAAuhMu;
Sa Paghimig Mo;December Avenue;2019;Langit Mong Bughaw;;https://open.spotify.com/track/5VIXkOeKsZDYye15Xhr5sT;
Dahan;December Avenue;2019;Langit Mong Bughaw;;https://open.spotify.com/track/4kEVDvxSiBOBHxB3hR4iqz;
Kahit Di Mo Alam;December Avenue;2019;Langit Mong Bughaw;;https://open.spotify.com/track/7Ej7MKkFmuDApmawGwSA3S;
Kahit Sa Panaginip;December Avenue;2019;Langit Mong Bughaw;;https://open.spotify.com/track/1n945VPMXC7lDEJsbxK6pE;
Huling Sandali;December Avenue;2019;Langit Mong Bughaw;;https://open.spotify.com/track/6rIx9meOtOHDoo6ryRUdHv;
Sa Dulo Ng Walang Hanggan;December Avenue;2019;Langit Mong Bughaw;;https://open.spotify.com/track/76hY08tpF7iU5yffRwQWQs;
Paskong Alaala;December Avenue;2017;Single;;https://open.spotify.com/track/45pncOQEfx9eVJ5GlyXa1e;
Kung Ako Na Lang Sana;December Avenue;2018;Single;;https://open.spotify.com/track/5bx2Zs9QQ7A8k7RFithoIz;
Sa Dulo Ng Walang Hanggan (Piano Version);December Avenue;2018;Single;;https://open.spotify.com/track/1mTROTnvFi7uxGciL319Kb;
Kahit Sa Panaginip;December Avenue;2019;Single;Khalil Ramos;https://open.spotify.com/track/4Prcmh1dIZvT2DwYk8TC7l;
Bakas Ng Talampakan;December Avenue;2020;Single;;https://open.spotify.com/track/7jTO2Pyavfit1JCdMVrkud;
Umaaraw, Umuulan;December Avenue;2020;Single;;https://open.spotify.com/track/2h2qK7Gf5yw0jx8dOQnUgo;
Polaris;December Avenue;2020;Single;;https://open.spotify.com/track/4qnLsukL6Kkypa0joQSvpD;
Unfamiliar;December Avenue;2021;Single;;https://open.spotify.com/track/0KZResUSg4qEtwSxL1cBqr;
Drive;December Avenue;2021;Single;;https://open.spotify.com/track/6cRu69vqU3lENqlFEULIgH;
Isang Himala;December Avenue;2021;Single;;https://open.spotify.com/track/0jpPRcsopH1lZnIj5uLlyO;
Saksi Ang Langit;December Avenue;2022;Single;;https://open.spotify.com/track/6tPFZRJKj5JR7qO3qWxaVm;
Ilang Beses Kita Mamahalin?;December Avenue;2023;Single;;https://open.spotify.com/track/7qJfJulRbu1GiyAY5svOei;
Wala Nang Iba;December Avenue;2023;Single;Belle Mariano;https://open.spotify.com/track/6wJWjSeyr2usaQBTcvRR0R;
In My Arms Is Where I'll Keep You;December Avenue;2023;Single;;https://open.spotify.com/track/47OktvwapC5hbuJQWO3ukt;
Face of God;December Avenue;2024;Single;;https://open.spotify.com/track/4A9M5nq0KsU8A58nfoFb0q;
Paraya;December Avenue;2024;Single;;https://open.spotify.com/track/5DDS1hu1GcEZppuArUcfUA;
Ahon;December Avenue;2025;Single;Morissette;https://open.spotify.com/track/2ZNUhyHeCLzwKLBMH0m48Y;
I Don't Wanna Wait;December Avenue;2011;90s Music Comes Alive;;https://open.spotify.com/track/076u5BInS1j1pb9QbPfLfV;
Jingle Bells X Deck the Halls;December Avenue;2018;Single;Khalil Ramos;https://open.spotify.com/track/4w1maTceOzURZYKqDzninf;
Summer Song;December Avenue;2019;Single;Gracenote, Autotelic;https://open.spotify.com/track/53P6WL61RfwwS5JSJRFacQ;
Tadhana;December Avenue;2019;Single;Just Hush;https://open.spotify.com/track/68IguCyf7uZU6vNeyMcGCM;
A Perfect Christmas;December Avenue;2019;Spotify Singles - Holiday;Jose Mari Chan, Ben&Ben, I Belong to the Zoo, Julie Anne San Jose, Moira Dela Torre;https://open.spotify.com/track/7n7mTiptQT1iNa7rMhcZS8;
Bulong (Tower Sessions Live);December Avenue;2020;For the Roadies (Live);;https://open.spotify.com/track/1Y9pegQ14qcMi2GAiWTUp6;
Breathe Again (Tower Sessions Live);December Avenue;2020;For the Roadies (Live);;https://open.spotify.com/track/5y8r3Db9EyFROr0xG39byo;
Fallin' (Tower Sessions Live);December Avenue;2020;For the Roadies (Live);;https://open.spotify.com/track/4RXoDDJxTA65sXGXDss3IO;
Kahit 'Di Mo Alam (Tower Sessions Live);December Avenue;2020;For the Roadies (Live);;https://open.spotify.com/track/7mgs5lHtfe0RoRL6VGqO89;
Ears and Rhymes (Tower Sessions Live);December Avenue;2020;For the Roadies (Live);;https://open.spotify.com/track/6umkF5IwWXezRHdNhCSY8J;
Sleep Tonight (Tower Sessions Live);December Avenue;2020;For the Roadies (Live);;https://open.spotify.com/track/3Kx9RVqYHLxBadq4nxbHMl;
Bakas Ng Talampakan (Tower Sessions Live);December Avenue;2020;For the Roadies (Live);;https://open.spotify.com/track/7A6dmyZQB29UcznomZ5KmS;
Huling Sandali (Tower Sessions Live);December Avenue;2020;For the Roadies (Live);;https://open.spotify.com/track/6w4WZm6OWJpYnA9zTZf0E0;
Kung 'Di Rin Lang Ikaw (Tower Sessions Live);December Avenue;2020;For the Roadies (Live);;https://open.spotify.com/track/3b2bQnH9Tm1BwkrHN8GJyG;
Sa Ngalan Ng Pag-Ibig (Tower Sessions Live);December Avenue;2020;For the Roadies (Live);;https://open.spotify.com/track/7wZOmJgsnmfWdsYJCaxZsE;
Intro / Eroplanong Papel (Live);December Avenue;2025;Sa Ilalim Ng Mga Bituin (Live);;https://open.spotify.com/track/0fIHU1Jacnto5jDusWMvL0;
Bulong (Live);December Avenue;2025;Sa Ilalim Ng Mga Bituin (Live);;https://open.spotify.com/track/4NVB5Fvdx2sfC5rpboJFjd;
Kahit 'Di Mo Alam (Live);December Avenue;2025;Sa Ilalim Ng Mga Bituin (Live);;https://open.spotify.com/track/77qvaPsbmB9IIHSSminkbK;
Magkunwari (Live);December Avenue;2025;Sa Ilalim Ng Mga Bituin (Live);;https://open.spotify.com/track/03q8vZ4xQs9nhIgsXbd83T;
Unfamiliar (Live);December Avenue;2025;Sa Ilalim Ng Mga Bituin (Live);;https://open.spotify.com/track/55jesqAXLK96jN2oLfuei5;
I'll Be Watching You (Live);December Avenue;2025;Sa Ilalim Ng Mga Bituin (Live);;https://open.spotify.com/track/3uNMGuvbpigV6WsqYbqmzB;
Sleep Tonight (Live);December Avenue;2025;Sa Ilalim Ng Mga Bituin (Live);;https://open.spotify.com/track/2YT9H1m0mIXv1kcSMrco9P;
City Lights (Live);December Avenue;2025;Sa Ilalim Ng Mga Bituin (Live);;https://open.spotify.com/track/55uIz62HdsNRiSSPeDLrx8;
Fallin' (Live);December Avenue;2025;Sa Ilalim Ng Mga Bituin (Live);;https://open.spotify.com/track/7xgAMj29Hq8eTqVeF6TsXF;
Ears And Rhymes (Live);December Avenue;2025;Sa Ilalim Ng Mga Bituin (Live);;https://open.spotify.com/track/4bwOAxu5LYkQF7oeJIg2H5;
Dahan (Live);December Avenue;2025;Sa Ilalim Ng Mga Bituin (Live);;https://open.spotify.com/track/26zSx0xafv6z2eTMtfWZx4;
Ilang Beses Kita Mamahalin? (Live);December Avenue;2025;Sa Ilalim Ng Mga Bituin (Live);;https://open.spotify.com/track/0hWZ1iCNoD7bDo8U13mUwp;
Muling Magbabalik (Live);December Avenue;2025;Sa Ilalim Ng Mga Bituin (Live);;https://open.spotify.com/track/0uWZRf8ZYGCvqMtgkOboQK;
Wala Nang Iba (Live);December Avenue;2025;Sa Ilalim Ng Mga Bituin (Live);;https://open.spotify.com/track/0mJg5DabAZAszCmymS8iKD;
Paraya (Live);December Avenue;2025;Sa Ilalim Ng Mga Bituin (Live);;https://open.spotify.com/track/5haRqQSJ7ivIV1zOXqihBO;
Tabing Ilog (Live);December Avenue;2025;Sa Ilalim Ng Mga Bituin (Live);Barbie Almalbis;https://open.spotify.com/track/3cPgFrdfSWyQwoqNA6ryjV;
Tulog Na (Live);December Avenue;2025;Sa Ilalim Ng Mga Bituin (Live);Ebe Dancel;https://open.spotify.com/track/2QjmBOrlQtOIdWHrLjwsS3;
'Wag Ka Nang Umiyak (Live);December Avenue;2025;Sa Ilalim Ng Mga Bituin (Live);Ebe Dancel;https://open.spotify.com/track/19RB4pVwq5Y3bOYgmmRJ45;
Ikaw Lamang (Live);December Avenue;2025;Sa Ilalim Ng Mga Bituin (Live);Silent Sanctuary;https://open.spotify.com/track/2iB3tocbaz5aaZTeWGwSbF;
Kundiman (Live);December Avenue;2025;Sa Ilalim Ng Mga Bituin (Live);Silent Sanctuary;https://open.spotify.com/track/5UZb019RGNLWB8NtHodB4A;
Kung 'Di Rin Lang Ikaw (Live);December Avenue;2025;Sa Ilalim Ng Mga Bituin (Live);;https://open.spotify.com/track/5NL3Ttv8Es0zsmz77uXRfR;
Huling Sandali (Live);December Avenue;2025;Sa Ilalim Ng Mga Bituin (Live);;https://open.spotify.com/track/6ICAZwbLKSFlsLc4Qi3Ijt;
Saksi Ang Langit (Live);December Avenue;2025;Sa Ilalim Ng Mga Bituin (Live);;https://open.spotify.com/track/5vTB6tHyr5RXnEFooiJfH8;
Sa Dulo Ng Walang Hanggan / Sa Ngalan Ng Pag-ibig (Live);December Avenue;2025;Sa Ilalim Ng Mga Bituin (Live);;https://open.spotify.com/track/7tBjRuPWel7lyxOuov2Imv;
