Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
Janice;Dilaw;2021;Janice (Single);;https://open.spotify.com/track/0BewsYUbEIKdJmdap9oI7V;
3019;Dilaw;2022;3019 (Single);;https://open.spotify.com/track/06e64wh6xM9EmFDkzu7S3n;
Kaloy;Dilaw;2022;Kaloy (Single);;https://open.spotify.com/track/655gfZ80siU67IXldvNx5C;
Uhaw;Dilaw;2022;Uhaw (Single);;https://open.spotify.com/track/5SyigMsSY8uAV1m27fhnLD;
Uhaw (Tayong Lahat);Dilaw;2022;Uhaw (Tayong Lahat) (Single);;https://open.spotify.com/track/47OFMuRu5lzJHRbtEXPBbs;
Sansinukob;Dilaw;2023;Sansinukob (EP);;https://open.spotify.com/track/7jOqzJjLxMTg6yScO5nYDb;
Maskara;Dilaw;2023;Sansinukob (EP);;https://open.spotify.com/track/38nyyKG2e1vH9dYXXhbzUl;
Orasa;Dilaw;2023;Orasa (Single);;https://open.spotify.com/track/7tEmYgysfhAr3s5hEa8nlc;
Chinelas;Dilaw;2023;Chinelas (Single);AsianCutie;https://open.spotify.com/track/2vexlgpCphgC1jDSFHUyiB;
Hithit Buwang;Dilaw;2023;Di Ilaw Sa Gabing Mapanglaw (Live at Teatrino);;https://open.spotify.com/track/6PH3500JAAT80LChdRIJAf;
Walwal;Dilaw;2023;Di Ilaw Sa Gabing Mapanglaw (Live at Teatrino);;https://open.spotify.com/track/7CTf09mQUx0tn5i5NbcOmY;
Goodnight Prayer;Dilaw;2023;Di Ilaw Sa Gabing Mapanglaw (Live at Teatrino);;https://open.spotify.com/track/4XH17sGMa7haJ4FFDzaZzo;
Sa Kahapon;Dilaw;2024;Sa Kahapon (Single);Janine Berdin;https://open.spotify.com/track/13MbhFKhfggZCUxZcJjB3b;
Nilalang;Dilaw;2024;Nilalang (Single);;https://open.spotify.com/track/7eMn5OCApyTgqrPPoLJWBq;
YIEE;Dilaw;2024;YIEE (Single);;https://open.spotify.com/track/3Jt1u39DvQbrXJ1FfARklr;
Mahal;Dilaw;2025;Mahal (Single);;https://open.spotify.com/track/17k0CnwqLbTPeR8UL0rNZs;
FLYING KISS;Dilaw;2025;FLYING KISS (Single);;https://open.spotify.com/track/7FM8EdwFO6n4v6vFoHpGDE;
BLACK N' WHITE;Dilaw;2025;BLACK N' WHITE (Single);;https://open.spotify.com/track/463Qg3HAd8KjE1YrSHgm6X;
ALL IN;Dilaw;2025;RARARA;;https://open.spotify.com/track/6RBI05udevzEfIr5pdEKLs;
SEYP;Dilaw;2025;RARARA;;https://open.spotify.com/track/1tONCy1XK4830cTvrk18sK;
LAMYERDA;Dilaw;2025;RARARA;;https://open.spotify.com/track/3GBP45m2RHmMYjcu1VuYle;
!;Dilaw;2025;RARARA;;https://open.spotify.com/track/1dc920Zf2upaX1zlNrWown;
IKAW AT AKO AY;Dilaw;2025;RARARA;;https://open.spotify.com/track/4QUmLoBr3snF495FDrOS8C;
H.O.Y. (HANG OVER YOU);Dilaw;2025;RARARA;;https://open.spotify.com/track/2fzvmKkVkjVG7eCTysetek;
RARARA;Dilaw;2025;RARARA;;https://open.spotify.com/track/29LpgyzY0QsvhsNO6XXQ6c;
AMISTAD;Dilaw;2025;RARARA;;https://open.spotify.com/track/3c3OCi8kwKDsV0b0bAXUCp;BLACK N’ WHITE;Dilaw;;Unknown;;https://open.spotify.com/track/4xJgpK9UDhCy3YbpBlW7nt;
