Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
Tapos Na;Earl Agustin;2021;Tapos Na (Single);;https://open.spotify.com/track/441Ik6xsJZLFtSoMcnxql4;
Dalangin;Earl Agustin;2023;Dalangin (Single);;https://open.spotify.com/track/2cIxxsxXNvOXNFVvDJpF3x;
Tibok;Earl Agustin;2023;Tibok (Single);;https://open.spotify.com/track/2Dhdu4YB3y5U3RiIcCJduv;
Dito Sa'kin;Earl Agustin;2024;Dito Sa'kin (Single);;https://open.spotify.com/track/4g6QB9ktIdyEW5sIfcp71i;
Aya;Earl Agustin;2024;Aya (Single);;https://open.spotify.com/track/6iwojThk8NJYqaN9LUZSON;
Tibok;Earl Agustin;2025;Ang Mutya Ng Section E (A Viva One Original Series Soundtrack);;https://open.spotify.com/track/0Tuo5hZJi0f9InKf4NAtZt;
Pag-ibig ng Ikaw at Ako;Earl Agustin;2025;Pag-ibig ng Ikaw at Ako (Single);;https://open.spotify.com/track/1GqZU8Isnm4Bwx7V3na5tO;
Dalangin;Earl Agustin;2025;Avenues of the Diamond (A Viva One Original Series Soundtrack);;https://open.spotify.com/track/6RXaIvJGrfUMWLvGx58PBS;
A Little Bit;Earl Agustin;2025;SWABE (EP);;https://open.spotify.com/track/4Mk2hfT0oXkuwX8bd5jln0;
Intro;Earl Agustin;2025;Himig at Pag-ibig (Album);;https://open.spotify.com/track/5kfQ5nEVfQKRfOXf0LjTPK;
Tayong Dalawa;Earl Agustin;2025;Himig at Pag-ibig (Album);;https://open.spotify.com/track/0sIoAqI7eBnWUrEDkIgsCI;
Dito Sa'kin;Earl Agustin;2025;Himig at Pag-ibig (Album);;https://open.spotify.com/track/6Owt1G43Ip2DtVnIl7omvI;
Basin Puhon;Earl Agustin;2025;Himig at Pag-ibig (Album);;https://open.spotify.com/track/2R0ol02pGCxiwO7SxwHp34;
Aya;Earl Agustin;2025;Himig at Pag-ibig (Album);;https://open.spotify.com/track/3kLamwtehsN5A7DXXS1fAf;
Dalangin;Earl Agustin;2025;Himig at Pag-ibig (Album);;https://open.spotify.com/track/5dO666voi2S72ZupppSOi4;
Minamahal;Earl Agustin;2025;Himig at Pag-ibig (Album);dana paulene;https://open.spotify.com/track/4p0Lf5VRuU5UMvprWAVZTY;
Tibok;Earl Agustin;2025;Himig at Pag-ibig (Album);;https://open.spotify.com/track/5K6f4gciCEFTZkKTooU5AZ;
Pag-ibig ng Ikaw at Ako;Earl Agustin;2025;Himig at Pag-ibig (Album);;https://open.spotify.com/track/2DABJpDDPUaCWqZ9nMgkw4;
Suntok sa Buwan;Earl Agustin;2025;Himig at Pag-ibig (Album);;https://open.spotify.com/track/2aeylcb7si6ecmrpJuG2Eq;
Pag-ibig ng Ikaw at Ako;Earl Agustin;2025;Seducing Drake Palma (A Viva One Original Series Soundtrack);;https://open.spotify.com/track/4i8Xjhzrqqowm3L4ei9i1A;
Dito Sa'kin;Earl Agustin;2025;Seducing Drake Palma (A Viva One Original Series Soundtrack);;https://open.spotify.com/track/2qHYqoZMSigRWYOMew5FaI;
A Little Bit;Earl Agustin;2025;Avenues of the Diamond (A Viva One Original Series Soundtrack);;https://open.spotify.com/track/07CEwSWwzrxo8ph0OzwIGK;
Minamahal;Earl Agustin;2025;Minamahal (Original Movie Soundtrack);dana paulene;https://open.spotify.com/track/6ot2R8pIOod1w1Dy8K0iAj;
Pag-ibig ng Ikaw at Ako;Earl Agustin;2025;Seducing Drake Palma Vol. 2 (A Viva One Original Series Soundtrack);;https://open.spotify.com/track/0gFmxK5Iu6r22rd8EaD8NP;
Dito Sa'kin;Earl Agustin;2025;Seducing Drake Palma Vol. 2 (A Viva One Original Series Soundtrack);;https://open.spotify.com/track/5Apd7IlJbdW0P4v0P3xgvT;Di Na;Earl Agustin;;Single;;https://open.spotify.com/track/1ETxEgB0R48fOF3mIajPyF;
Nahanap Kita;Earl Agustin;;Unknown;;https://open.spotify.com/track/7jzpOaFxDsbeWaxmGmv1Ct;
Sugar Sugar;Earl Agustin;;Unknown;;https://open.spotify.com/track/2NDf2SfspzwObz8fkkHyYv;
Bahalahanap;Earl Agustin;;Unknown;;https://open.spotify.com/track/1Fywydv2R83PlZ16dFUHvt;
Pahina;Earl Agustin;;Unknown;;https://open.spotify.com/track/0M3agPcccUPsrurmccCFCx;
Di Na;Earl Agustin;;Single;;https://open.spotify.com/track/1ETxEgB0R48fOF3mIajPyF;
