Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
Easy Ka Lang;Eraserheads;1993;Ultraelectromagneticpop!;;https://open.spotify.com/track/54IQTXCB66XNnqJwZLXwUy;
Maling Akala;Eraserheads;1993;Ultraelectromagneticpop!;;https://open.spotify.com/track/3sapcDx86Nr3Uc3bEQcu21;
Pare Ko;Eraserheads;1993;Ultraelectromagneticpop!;;https://open.spotify.com/track/7uuirrtCr8O8fz7kQS6VUR;
Shake Yer Head;Eraserheads;1993;Ultraelectromagneticpop!;;https://open.spotify.com/track/1wWLp3ZHBp3NU3DUOWpA76;
Ganjazz;Eraserheads;1993;Ultraelectromagneticpop!;;https://open.spotify.com/track/550Pos0IpTkIsExFSl47r0;
Toyang;Eraserheads;1993;Ultraelectromagneticpop!;;https://open.spotify.com/track/0MOcNURhC9dUbQ2pIOEaZe;
Ligaya;Eraserheads;1993;Ultraelectromagneticpop!;;https://open.spotify.com/track/5Ro6MdZGgce4PEuaFCJYPq;
Tindahan Ni Aling Nena;Eraserheads;1993;Ultraelectromagneticpop!;;https://open.spotify.com/track/1FsVa6q1CStHdgqZjaKwNk;
Honky-Toinks Granny;Eraserheads;1993;Ultraelectromagneticpop!;;https://open.spotify.com/track/6OrAVMWL85Uew4SvWV2x3J;
Shirley;Eraserheads;1993;Ultraelectromagneticpop!;;https://open.spotify.com/track/4NUAsaQUuZm8k6CdbdjxRq;
Walang Hiyang Pare Ko;Eraserheads;1993;Ultraelectromagneticpop!;;https://open.spotify.com/track/6drnFu40MUcjdGxzfExIbd;
Combo On The Run;Eraserheads;1993;Ultraelectromagneticpop!;;https://open.spotify.com/track/4pSdKSCXc2kiYKvFQXIAjm;
Bato;Eraserheads;1994;Circus;;https://open.spotify.com/track/6VWq9Q8uToSOe75hCJp38C;
Sembreak;Eraserheads;1994;Circus;;https://open.spotify.com/track/6g5obKN94RJAjha3luUExe;
Alapaap;Eraserheads;1994;Circus;;https://open.spotify.com/track/0GGfPhGuWC2JGc7hlvjLXa;
Hey Jay;Eraserheads;1994;Circus;;https://open.spotify.com/track/77iPHNWpTtjrUYYwa5gaky;
Minsan;Eraserheads;1994;Circus;;https://open.spotify.com/track/4iuAGPs5hlZqsKsS0ZnyWB;
Punk Zappa;Eraserheads;1994;Circus;;https://open.spotify.com/track/0lSYEOcLD7ZM3AQXLetelw;
Insomya;Eraserheads;1994;Circus;;https://open.spotify.com/track/2NUD4FI3nNERL0eEWMQAAs;
With A Smile;Eraserheads;1994;Circus;;https://open.spotify.com/track/1NopgVCMVhCKIm64tF7auX;
Alkohol;Eraserheads;1994;Circus;;https://open.spotify.com/track/5MpIy9GYWw8AWsBL6Bneyi;
Wishing Wells;Eraserheads;1994;Circus;;https://open.spotify.com/track/3T8P0JOPUMN4Wc5fuLAx4l;
Kailan;Eraserheads;1994;Circus;;https://open.spotify.com/track/66LwDCA8wJpTNXXonCMplI;
No Royality Album Filler No. 9;Eraserheads;1994;Circus;;https://open.spotify.com/track/2G0cXs9iFAcFr9O0fNz2q4;
Magasin;Eraserheads;1994;Circus;;https://open.spotify.com/track/1lan3CApvveTezmBBGzsGu;
Butterscotch;Eraserheads;1994;Circus;;https://open.spotify.com/track/11z9XKmqywLusY7r3zPWaB;
Sa Wakas;Eraserheads;1994;Circus;;https://open.spotify.com/track/2oxpnUxDY07G0DSTKYQYvv;
Prof. Banlaoi's Transcendental Medication After Every Six Months or Punk Zappa Three;Eraserheads;1994;Circus;;https://open.spotify.com/track/5JvXHaqchNppElX7JaS4Nc;
Wating;Eraserheads;1994;Circus;;https://open.spotify.com/track/76tlJoc8zjnDktjQttAaPg;
Kailan Lounge;Eraserheads;1994;Circus;;https://open.spotify.com/track/74YaExGhMibH7DDpAVgpPe;
Run Barbi Run;Eraserheads;1995;Single (Run Barbi Run OST);;https://open.spotify.com/track/5JRwSnjp8bip417cVQiYHr;
Superproxy;Eraserheads;1995;Cutterpillow;;https://open.spotify.com/track/0NZmhezRAiqvGQfvWv57hN;
Back2Me;Eraserheads;1995;Cutterpillow;;https://open.spotify.com/track/3sCgZZoLkrojyuoD0C4lhf;
Waiting For The Bus;Eraserheads;1995;Cutterpillow;;https://open.spotify.com/track/3Yb2JVsh33v17rAou2mNnN;
Fine Time;Eraserheads;1995;Cutterpillow;;https://open.spotify.com/track/5aeUAKVIJseJpFQetiDard;
Kamasupra;Eraserheads;1995;Cutterpillow;;https://open.spotify.com/track/4GEOX1Y6efeflmZyYwo2vj;
Overdrive;Eraserheads;1995;Cutterpillow;;https://open.spotify.com/track/0s1FYiiNy57vqAStlQMHsy;
Slo Mo;Eraserheads;1995;Cutterpillow;;https://open.spotify.com/track/4HznNTMxrATnBtKBHaazaz;
Torpedo;Eraserheads;1995;Cutterpillow;;https://open.spotify.com/track/4dyDo6u2t5fqo2OgVZuHSy;
Huwag Mo Nang Itanong;Eraserheads;1995;Cutterpillow;;https://open.spotify.com/track/2A3CzmtFj1sK6W1qQtBz86;
Paru-Parong Ningning;Eraserheads;1995;Cutterpillow;;https://open.spotify.com/track/1J65Q6QUn1ep5WilBY6rbd;
Walang Nagbago;Eraserheads;1995;Cutterpillow;;https://open.spotify.com/track/133CI87OOZMTysivNrd31z;
Poorman's Grave;Eraserheads;1995;Cutterpillow;;https://open.spotify.com/track/6ipDHEjNSklyvKsPlxDnnD;
Yoko;Eraserheads;1995;Cutterpillow;;https://open.spotify.com/track/0o3FQUy5NnspZTQTtJ4Gip;
Fill Her;Eraserheads;1995;Cutterpillow;;https://open.spotify.com/track/6vZY4qmjHQw8BkocWY6LdO;
Ang Huling El Bimbo;Eraserheads;1995;Cutterpillow;;https://open.spotify.com/track/135ggzbjOogZ75IQ0LQi8r;
Cutterpillow;Eraserheads;1995;Cutterpillow;;https://open.spotify.com/track/6ggPAKbdUMkDSFzou2La1B;
Overdrive (Reprise);Eraserheads;1995;Cutterpillow;;https://open.spotify.com/track/2LuPyBiRXfedHG9zXXnUFD;
Fruitcake;Eraserheads;1996;Fruitcake;;https://open.spotify.com/track/720V7AnwXjC8IJnSRLokEw;
Shadow;Eraserheads;1996;Fruitcake;;https://open.spotify.com/track/0XQJBON0zlZAGjAzqECd3K;
Flat Tire;Eraserheads;1996;Fruitcake;;https://open.spotify.com/track/0du5majyJyrdhYenAqJGBb;
Shadow Boxes Accountants;Eraserheads;1996;Fruitcake;;https://open.spotify.com/track/5O7MyPsm7fOsOYpPmhZLCj;
Gatekeeper;Eraserheads;1996;Fruitcake;;https://open.spotify.com/track/5BtSAEDfCXA8cAAutOTTo8;
Old Fashioned Christmas Carol;Eraserheads;1996;Fruitcake;;https://open.spotify.com/track/2UprLQsSW9PhyqOgIIWFy0;
Styrosnow;Eraserheads;1996;Fruitcake;;https://open.spotify.com/track/39SWucsAKRaXoHKm4lyRvA;
