Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
Palayo;Felip;2021;Single;;https://open.spotify.com/track/3FvYLNM5ShB5vDCzGw8syX;
Pangga (Remix);Felip;2021;Single;Matthaios, Michael Pacquiao, Soulthrll;https://open.spotify.com/track/3KatyyxeXEbrW9zBre20wa;
Bulan;Felip;2022;Single;;https://open.spotify.com/track/2qYmu6Obx3NW1VeNOiCFMK;
ROCKSTA;Felip;2023;COM.PLEX;;https://open.spotify.com/track/5UhtleGyBZJCvG8cstjLkr;
SUPERIORITY;Felip;2023;COM.PLEX;;https://open.spotify.com/track/3Tzmy7ExNOlP0tdDr9sjUT;
MICTEST;Felip;2023;COM.PLEX;;https://open.spotify.com/track/5MC8Oxr5FTIQYJ6f7Cg6gR;
DRINKSMOKE;Felip;2023;COM.PLEX;;https://open.spotify.com/track/29UIvWBrkjWtVuSEyexLt1;
CRIMINAL;Felip;2023;COM.PLEX;;https://open.spotify.com/track/4YPz66cDppOl9KVUOCpBV5;
STRAYDOGS;Felip;2023;COM.PLEX;;https://open.spotify.com/track/03aFaNBeCXmFl194HuyWKe;
Moving Closer;Felip;2023;Single;;https://open.spotify.com/track/59PCn7ObERln3cPl84CGx6;
Kanako;Felip;2023;Single;;https://open.spotify.com/track/76hOMoRACZOQq5CfqSNU9i;
Fake Faces;Felip;2024;Single;;https://open.spotify.com/track/4u6nMHl8cUr6aZY5VHkTGA;
FLYYY;Felip;2024;Single;PLAYERTWO;https://open.spotify.com/track/0PWBx43woMnsyUC72NC1Gl;
Pagdali;Felip;2024;Single;PLAYERTWO;https://open.spotify.com/track/7fMR5ryCo3m38yyj1PCym4;
foes;Felip;2024;7sins;;https://open.spotify.com/track/5IyWs6bAMeT9vPUiUVgSdd;
envy;Felip;2024;7sins;;https://open.spotify.com/track/6uJggzzrSE5tK9CRTZejgm;
wrath;Felip;2024;7sins;;https://open.spotify.com/track/12VANuhDUHnXRtRG6YP72a;
greed;Felip;2024;7sins;;https://open.spotify.com/track/3foNAstTb7fdbbfFnKwn28;
pride;Felip;2024;7sins;;https://open.spotify.com/track/1jZET8rPE5RWZZrkCM2toY;
gluttony;Felip;2024;7sins;PLAYERTWO;https://open.spotify.com/track/216LlnUj3GfZ0yE2hXZxm0;
lust;Felip;2024;7sins;Cyra Gwynth;https://open.spotify.com/track/70kZ4pCeZ0WIanftduEDov;
sloth;Felip;2024;7sins;;https://open.spotify.com/track/6PJLoGD9KpyMSx8j7vVWHq;
ache;Felip;2024;7sins;;https://open.spotify.com/track/3G3ZYOLBcjbIv0GDlIoZeh;
Moving Closer (From the Cafe);Felip;2025;Single;;https://open.spotify.com/track/1kAyLWCiJfTDhm56kaOXnO;
Moving Closer (From the Lounge);Felip;2025;Single;;https://open.spotify.com/track/0cd2BCuzH8Vub1cS2eKU7M;
to sin is human, to forgive is divine - 7sins: the album concert (live);Felip;;Unknown;;https://open.spotify.com/track/5lbuH5ieouWZ43qHAcCK08;
foes - 7sins: the album concert (live);Felip;;Unknown;;https://open.spotify.com/track/44TFeq1FSLniRzbThYVWom;
envy - 7sins: the album concert (live);Felip;;Unknown;;https://open.spotify.com/track/41gwpmt6wVdwDgjE430dm6;
greed - 7sins: the album concert (live);Felip;;Unknown;;https://open.spotify.com/track/5fWWoFfmqwBhBq93Rc6YqB;
lust (feat. Cyra Gwynth) - 7sins: the album concert (live);Felip;;Unknown;;https://open.spotify.com/track/2hlY0jd3uRy5i7SuN1oz7Z;
pride - 7sins: the album concert (live);Felip;;Unknown;;https://open.spotify.com/track/45ZCoFCk3DL7d84d7bwWdz;
gluttony (feat. PLAYERTWO) - 7sins: the album concert (live);Felip;;Unknown;;https://open.spotify.com/track/0HaZMHBzZOYqdEcCtzAHEU;
wrath - 7sins: the album concert (live);Felip;;Unknown;;https://open.spotify.com/track/5ykca7sZJ8OAUepkUGIdRE;
tokyo - 7sins: the album concert (live);Felip;;Unknown;;https://open.spotify.com/track/5KKi1lmsdHfm4IYZ1YSy94;
sloth - 7sins: the album concert (live);Felip;;Unknown;;https://open.spotify.com/track/6dmzbxC4WjfB3ucXZUUaO5;
grace - 7sins: the album concert (live);Felip;;Unknown;;https://open.spotify.com/track/6HsmDcIbYCn7YzWBUKEucW;
ache - 7sins: the album concert (live);Felip;;Unknown;;https://open.spotify.com/track/4lQY03QyHAKDj6XdDgVDcL;
KAWASAKI (with Felip & thủy);Felip;;Single;;https://open.spotify.com/track/37ifPBg9M2NzlRNHe9WUIy;
SULFUR;Felip;;Single;;https://open.spotify.com/track/57PX7Ks8AsC1vIoadnHUS3;
