Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
Aurora Skies;fitterkarma;2019;Single;;https://open.spotify.com/track/0O6A4Wjo3GcwanYNHpxdhb;
Pambihira;fitterkarma;2019;Single;;https://open.spotify.com/track/2lE36J56tNDWrRE7sNmrkl;
pakinggan mo...;fitterkarma;2022;pakinggan mo... (EP);;https://open.spotify.com/track/2TCu6hK0VzFUiHTmNEFICH;
KAMATAYAN!!!;fitterkarma;2022;pakinggan mo... (EP);;https://open.spotify.com/track/5bcH0qGjvkBZ9H2Maw4IHv;
Multo, Pt. 1;fitterkarma;2022;pakinggan mo... (EP);;https://open.spotify.com/track/2AufDrEsHko12Kuq0Uiuh0;
Isang Pangako;fitterkarma;2022;pakinggan mo... (EP);;https://open.spotify.com/track/1TOtcBVUS8PrtoPT5LZW0C;
Multo, Pt. 2;fitterkarma;2022;pakinggan mo... (EP);;https://open.spotify.com/track/6E66NRYTRz3v6ATLONY1nT;
Pambihira - EP Version;fitterkarma;2022;pakinggan mo... (EP);;https://open.spotify.com/track/2Fg1gy28BmRy0pGH8IJeWG;
Kalapastangan;fitterkarma;2023;Single;;https://open.spotify.com/track/1udOOSbJnytCdgvbgYOF5s;
Pag-Ibig ay Kanibalismo II;fitterkarma;2025;Single;;https://open.spotify.com/track/410fyfFghBsxNu45LiNJ24;
Pag-Ibig ay Kanibalismo I;fitterkarma;2025;Single;;https://open.spotify.com/track/1D5QYhOVApBxelGLXSenLC;
Sumpa;fitterkarma;2025;Single;;https://open.spotify.com/track/53TEymid26RSQwfL3UrYru;
