Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
Bang;G22;2021;Single;;https://open.spotify.com/track/5ePKWiTwDHvZGfSqk3YxWP;
Babalik;G22;2022;Single;;https://open.spotify.com/track/5g6PpXjk2mQPXsinRlaLxy;
Booty;G22;2022;Single;;https://open.spotify.com/track/3fHfRJ2AQIFskQy5xbKyLd;
Babaero;G22;2023;Single;;https://open.spotify.com/track/0Kz8f2JhmS4tRxVyQz8dpE;
LOKA;G22;2023;Single;;https://open.spotify.com/track/0xpuBL6ayhNOiewu8ftmXy;
Musika;G22;2023;Single;;https://open.spotify.com/track/33DMX9LvLFdgbVaZKCD8t4;
One Sided Love;G22;2024;Single;;https://open.spotify.com/track/4PolJ8iCpJrBSs3ok6eke9;
It Lies Within;G22;2024;Single;;https://open.spotify.com/track/14o3mu5LpDDxgn6wMqzqYQ;
Limitless;G22;2024;Single;;https://open.spotify.com/track/6uprAd2AlULi5L8a5N7Rx7;
I Hate Boys;G22;2024;Single;;https://open.spotify.com/track/5NX9nNJbWvy4qAc0lQLluA;
Pa-Pa-Pa-Palaban;G22;2025;The Dissection Of Eve;;https://open.spotify.com/track/3ftB0WtBHlCrTJUT21wtxA;
LAKUMPAKE!;G22;2025;The Dissection Of Eve;;https://open.spotify.com/track/7nSWT4lUjyLZoQgYpfvf4y;
Groove On;G22;2025;The Dissection Of Eve;;https://open.spotify.com/track/5g5X7fQpoL8NU3D7Ir7INZ;
Super Saiyan;G22;2025;The Dissection Of Eve;;https://open.spotify.com/track/76d2Jy12bgBpdlH8RAqSZE;
KIAK (Kung Ikaw At Ako);G22;2025;The Dissection Of Eve;;https://open.spotify.com/track/1s32n6YCDQoLLk3Zze6P9r;
Until When? (Kinakaya Ko Pa);G22;2025;The Dissection Of Eve;;https://open.spotify.com/track/4A1z5X17XtVkkOmAnCGxlo;
First;G22;2025;The Dissection Of Eve;;https://open.spotify.com/track/29DBERaSwAdw9ymabbH7Fu;
Filipina Queen;G22;2025;The Dissection Of Eve;;https://open.spotify.com/track/2q1k23dy9Nn5K956oBcPJD;
It Lies Within (Predator League Official Theme Song) (Philippines Version);G22;;Single;;https://open.spotify.com/track/3XTqg5NA8MA8xLBgdJHbfw;
