Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
Isang Araw;Gloc-9;2003;G9 (Gloc Nine);;https://open.spotify.com/track/5oDUtdz4R7Jh905SBtVFhZ;
Sikat Na Si Pepe;Gloc-9;2003;G9 (Gloc Nine);;https://open.spotify.com/track/2sLe9x1IaFnBIxIbLo4Jds;
Ayoko Na Sana;Gloc-9;2003;G9 (Gloc Nine);;https://open.spotify.com/track/1dWBtBLd8yJJzV9DzerXaD;
Sayang;Gloc-9;2003;G9 (Gloc Nine);;https://open.spotify.com/track/3zXDhw0Ph6npExKzeDvAaR;
Simpleng Tao;Gloc-9;2003;G9 (Gloc Nine);;https://open.spotify.com/track/7K6g55fp09yQLBhgni3xqV;
Si Raul;Gloc-9;2003;G9 (Gloc Nine);;https://open.spotify.com/track/48zT76HHdYOb9nYAlQIDBu;
Hinahanap Ng Puso;Gloc-9;2003;G9 (Gloc Nine);feat. Hannah Romawac;https://open.spotify.com/track/1r50q0lRt8LhVOrwm8JjRg;
Bakit;Gloc-9;2003;G9 (Gloc Nine);;https://open.spotify.com/track/2VmZhRWy8iDsTTBRGYSTg6;
Laklak;Gloc-9;2003;G9 (Gloc Nine);feat. Dong Abay;https://open.spotify.com/track/7oGqva1pK2EoaVMt9eSyqa;
Masama Yan;Gloc-9;2003;G9 (Gloc Nine);;https://open.spotify.com/track/2XPXCGUdzqC60kjwl0wGqt;
Jologs;Gloc-9;2003;G9 (Gloc Nine);;https://open.spotify.com/track/7dAsOYvF6p428UYk3q52nH;
Ako Si;Gloc-9;2003;G9 (Gloc Nine);;https://open.spotify.com/track/5ZomIq5rXA7xasLWsBFZeV;
D Intro;Gloc-9;2005;Ako Si;;https://open.spotify.com/track/51EDstsQ6H4Za5jv1oCfXz;
Slick n Sly;Gloc-9;2005;Ako Si;feat. Slick N Sly Kane;https://open.spotify.com/track/6kwBCPeEMXsfI6I5WJ7z4X;
Tula;Gloc-9;2005;Ako Si;;https://open.spotify.com/track/7vUMFsED3QnkVJP7Q2faYa;
Ipagpatawad Mo;Gloc-9;2005;Ako Si;feat. Dzing Macanaya;https://open.spotify.com/track/3BqDp6yewmSm2FcmC0jpXa;
Love Story Ko;Gloc-9;2005;Ako Si;;https://open.spotify.com/track/7f3S33lB0WEQCSMGNs0GC4;
English Tracks;Gloc-9;2005;Ako Si;;https://open.spotify.com/track/35J8qVFL9bWPk7KEhFRuSH;
Get 2 Know You;Gloc-9;2005;Ako Si;feat. Keith Martin;https://open.spotify.com/track/5R7ho75ctmwGKbGCUvJhB2;
My Number;Gloc-9;2005;Ako Si;feat. Mitchell;https://open.spotify.com/track/03noRJ4NKNDJgokdH87tGl;
Pa'no Kaya;Gloc-9;2005;Ako Si;feat. Arnold Jr. & Gayle Dizon;https://open.spotify.com/track/0ersHTw5GoDk2Vq500IZiU;
Liwanag;Gloc-9;2005;Ako Si;feat. Francis Magalona;https://open.spotify.com/track/2o8ylmkMiciNuWgAZ4Y8oF;
Usap Tayo;Gloc-9;2005;Ako Si;;https://open.spotify.com/track/5S840AaVQRu57Pvx8XvBc0;
Nag-Iisang Mundo;Gloc-9;2005;Ako Si;;https://open.spotify.com/track/5TOCNI9SqaYGyIr80vBr0n;
Diploma;Gloc-9;2007;Diploma;;https://open.spotify.com/track/6Pb0O4mvgYLSNuLOERodPT;
Lando;Gloc-9;2007;Diploma;feat. Francis M.;https://open.spotify.com/track/2aBUWilZt3uX4wfgHg4g6S;
The Task Is Done;Gloc-9;2007;Diploma;feat. Gobas & Reg Rubio of Greyhoundz;https://open.spotify.com/track/1MJbfEAEI6UzHKTnzUoLrE;
Sumayaw Ka;Gloc-9;2007;Diploma;;https://open.spotify.com/track/3pfXzXbRJNXOT7f2IQ1s2p;
B.I.;Gloc-9;2007;Diploma;;https://open.spotify.com/track/4ZqYzweu17Z92mWBGxOymB;
Lov Na Lov;Gloc-9;2007;Diploma;feat. Lovi Poe;https://open.spotify.com/track/5UczNibiXAHtRFIhMC2BR9;
Blues Niyang Itim;Gloc-9;2007;Diploma;feat. Czarina Rosales;https://open.spotify.com/track/0Nx8WsTv00JASnL4MYpnfH;
Sila;Gloc-9;2007;Diploma;feat. Loonie & Konflick;https://open.spotify.com/track/6FR8JUmXzd816JqDC9uQlU;
Lapis At Papel;Gloc-9;2007;Diploma;;https://open.spotify.com/track/4RkUx7wJWD17fZ7PXrPBCM;
Torpedo;Gloc-9;2007;Diploma;feat. JP of Kiko Machine;https://open.spotify.com/track/5LATqHltRr9AvQj2ZPL5rF;
Kayo;Gloc-9;2007;Diploma;feat. Mitchell;https://open.spotify.com/track/3jp1KiuyujrO5LSuccGeJW;
Lando (feat. Chito Miranda);Gloc-9;2007;Diploma;feat. Chito Miranda;https://open.spotify.com/track/0on6uc9TBfpkHfoSjm3LvN;
Lipat Mo;Gloc-9;2009;Matrikula;;https://open.spotify.com/track/3ju7jg7JRYUoEcSYNaJpkW;
Martilyo;Gloc-9;2009;Matrikula;feat. Dex of Letter Day Story;https://open.spotify.com/track/7LtMm9yR9n5tpQMGkqSPcs;
Tinta;Gloc-9;2009;Matrikula;;https://open.spotify.com/track/4zoyZEOZj9Vxjcs7lQBHki;
Balita;Gloc-9;2009;Matrikula;feat. Gabby Alipe of Urbandub;https://open.spotify.com/track/6aVgfjeJcjELn8D5TJdGJk;
Upuan;Gloc-9;2009;Matrikula;feat. Jeazell Grutas;https://open.spotify.com/track/5sSG2CQBI3perj0gMbhXd1;
Bituwin;Gloc-9;2009;Matrikula;feat. Allan Mitchel;https://open.spotify.com/track/2h72dv2I6rOlAA0vwIIQsk;
Bayad Ko;Gloc-9;2009;Matrikula;feat. Noel Cabangon;https://open.spotify.com/track/1iqdzuc7CeMmutSMeNtyBw;
Bahala Na;Gloc-9;2009;Matrikula;feat. Moymoy Palaboy, Sisa & Biboy of Queso;https://open.spotify.com/track/2ZJMGAsE7H3sZYEv0ckhs3;
The Bobo Song;Gloc-9;2009;Matrikula;feat. Loonie;https://open.spotify.com/track/1I5AovO86hDK002yNCcpOi;
Pangarap;Gloc-9;2009;Matrikula;feat. Raymund Marasigan;https://open.spotify.com/track/2HsrOHBWX6DFEs0ugeyJiX;
Kaibigan Ko;Gloc-9;2009;Matrikula;feat. The Hardware Syndrome, Itoy & Willie;https://open.spotify.com/track/2oI8hPjrIX4q77NFhNxrgm;
Tao;Gloc-9;2009;Matrikula;feat. Cookie Chua of Color It Red;https://open.spotify.com/track/2j3gUSvyhcBe297VZAY9JK;
Buti Na Lang;Gloc-9;2011;Talumpati;feat. Mcoy Fundales of Kenyo;https://open.spotify.com/track/0CRB5oqNbrxXAMRMeIXunh;
Bugtong;Gloc-9;2011;Talumpati;feat. Yeng Constantino;https://open.spotify.com/track/4n13C26lsDX8bjgvnrkgHX;
Akin Lang Naman;Gloc-9;2011;Talumpati;feat. G-Dawg & Gordon Lambatan;https://open.spotify.com/track/3Rbh5VJFeSfZqx590SNDxl;
Walang Natira;Gloc-9;2011;Talumpati;feat. Sheng Belmonte;https://open.spotify.com/track/21FPqoc0NyXVB3wiB3iFRg;
Baon;Gloc-9;2011;Talumpati;feat. Gab Chee Kee of Parokya Ni Edgar;https://open.spotify.com/track/7L27335sVPt1pvXv3NHLXg;
Atik Laham;Gloc-9;2011;Talumpati;feat. Wency Cornejo;https://open.spotify.com/track/5bl0E5aGSapiCO121kEt7y;
