Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
DASH;HORI7ON;2023;Single;;https://open.spotify.com/track/6Zt4ODQmPF6TXeWop3zae5;
DASH (Inst.);HORI7ON;2023;Single;;https://open.spotify.com/track/1igXiK2ARGnOlAQizGEoBo;
Salamat;HORI7ON;2023;Single;;https://open.spotify.com/track/4Nac0BDCbmdr2RuvVy6hCw;
Salamat (Inst.);HORI7ON;2023;Single;;https://open.spotify.com/track/3q61fraeyLUQ2dLgfVrjk6;
Lovey Dovey;HORI7ON;2023;Single;;https://open.spotify.com/track/5hWUZ9VTMiXF8YSKiNbH4R;
Lovey Dovey (Inst.);HORI7ON;2023;Single;;https://open.spotify.com/track/0s5JaOjQBc9PmG2FhFCNH7;
METEOR (Prod. Noa of TFN);HORI7ON;2023;Album;;https://open.spotify.com/track/7GGAOCUSXbbb8ts2sQkmrA;
SIX7EEN;HORI7ON;2023;Album;;https://open.spotify.com/track/4RQatob7vigdhQmLTJ5hkz;
Birthday;HORI7ON;2023;Album;;https://open.spotify.com/track/6N5UOpARSFcmmuFLmwgYB9;
Mama;HORI7ON;2023;Album;;https://open.spotify.com/track/1L7SAnwgTIssiVX7QR3Lwm;
How You Feel;HORI7ON;2023;Album;Haeun (Lapillus);https://open.spotify.com/track/3hZJ9hmrK0iU4JucXxJ45L;
Death Or Paradise;HORI7ON;2023;Album;;https://open.spotify.com/track/0hHsAdudG2CoA9G6UbpNF9;
Take My Hand;HORI7ON;2023;Album;;https://open.spotify.com/track/6Iq1ly273NXxBIXz8IWp2M;
Tiger;HORI7ON;2023;Album;;https://open.spotify.com/track/1OzDEwcfVfQqcpNn6COVdF;
Hit Me;HORI7ON;2023;Album;;https://open.spotify.com/track/0ydsMAfs4vTH14IpN0TBbE;
Odd Eye;HORI7ON;2023;Album;;https://open.spotify.com/track/4mSISVPGzDKGMfRwxhWhzC;
Lovey Dovey;HORI7ON;2023;Album;;https://open.spotify.com/track/11CSnBLlPEHlGIEsBTReYw;
SIX7EEN (INST.);HORI7ON;2023;Album;;https://open.spotify.com/track/53dLpbVgcTDGQOCmBvxIKV;
LUCKY;HORI7ON;2024;Single;;https://open.spotify.com/track/4EjGkSYf8kOoLfxDU7Bc0N;
LUCKY (Inst.);HORI7ON;2024;Single;;https://open.spotify.com/track/3VDN1zMDxKq4jasT0REjgF;
SUMAYAW SUMUNOD;HORI7ON;2024;Single;;https://open.spotify.com/track/4LUp3ELFPLXwQ5YyWgDXSL;
SUMAYAW SUMUNOD - Tagalog Version;HORI7ON;2024;Single;;https://open.spotify.com/track/3Je2PZXO7XfBGwQVp8MrEa;
SUMAYAW SUMUNOD - English Version;HORI7ON;2024;Single;;https://open.spotify.com/track/5ulysQOlUzo5uhc3bc2HnN;
SUMAYAW SUMUNOD (Inst.);HORI7ON;2024;Single;;https://open.spotify.com/track/6qkc2xxhvRSlm9xrFMXHiU;
COLD;HORI7ON;2025;Single;;https://open.spotify.com/track/3mlJxXgrE8CuOW58g4QDS3;
COLD (Inst.);HORI7ON;2025;Single;;https://open.spotify.com/track/1csx9tIcbTJn9f1BmEY47N;
Pahinga;HORI7ON;2025;Single;;https://open.spotify.com/track/7KnZY7luSia1CS2pKs5NDN;
Lunod;HORI7ON;2026;Single;;https://open.spotify.com/track/5EkCk3lKlnlKxkO9lHuPxo;
