Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
Sofa (Remix);JOSH CULLEN;2022;Single;Ocho the Bullet, Carrot Mayor;https://open.spotify.com/track/5ppUekML3aZ40Uc2O8Xps8;
WILD TONIGHT;JOSH CULLEN;2023;Single;;https://open.spotify.com/track/4yBwaJUom5dOYp54wU6hA2;
Pakiusap Lang;JOSH CULLEN;2023;Single;;https://open.spotify.com/track/6trU06kJgdYaPqRUvz5K9e;
Sino Ka Ba;JOSH CULLEN;2023;Single;PABLO;https://open.spotify.com/track/3ukZV2HPv5fTttAhqPshQS;
GET RIGHT;JOSH CULLEN;2023;Single;;https://open.spotify.com/track/56FnjRDkdoCV5lVSyuQ9MU;
GET RIGHT (Yuridope Remix);JOSH CULLEN;2024;Single;Yuridope;https://open.spotify.com/track/6tnjn3aaScQJpfPCTD4DTR;
Yoko Na;JOSH CULLEN;2024;Single;Al James;https://open.spotify.com/track/6SIaYQUPOJpO8XFWeTl5dC;
1999;JOSH CULLEN;2024;Lost & Found;;https://open.spotify.com/track/0PMfgKba5PLGETb02cDcMg;
See Me;JOSH CULLEN;2024;Lost & Found;;https://open.spotify.com/track/5jH6p468HtmNHdJiubGQ6t;
Silent Cries;JOSH CULLEN;2024;Lost & Found;;https://open.spotify.com/track/1x0Y2jS5oJW4Q3aU9jZBER;
Honest;JOSH CULLEN;2024;Lost & Found;;https://open.spotify.com/track/1Rl5KDAu4wrUsQZZtD2hiy;
No Control;JOSH CULLEN;2024;Lost & Found;(e)motion engine;https://open.spotify.com/track/0Rg0DIhiShdvZvF7snNZIt;
Lights Out;JOSH CULLEN;2024;Lost & Found;Mo Mitchell;https://open.spotify.com/track/2TQQX4gYeQmobxNEXwtrZ3;
Sumaya;JOSH CULLEN;2024;Lost & Found;;https://open.spotify.com/track/2qKu8tPpilCBJqxzGWcOaC;
Silent Cries - Instrumental;JOSH CULLEN;2024;Lost & Found;;https://open.spotify.com/track/5FQodaxJAZTUPjdpbDT9pa;
No Control - Instrumental;JOSH CULLEN;2024;Lost & Found;;https://open.spotify.com/track/65LG9NubWQtyImpyNXotHo;
Takbuhan;JOSH CULLEN;2024;Single;Kael Guerrero;https://open.spotify.com/track/3RCVzaTWA7h1SR0nWQtIk1;
Re: Thinkin' About You;JOSH CULLEN;2024;Single;H1-KEY;https://open.spotify.com/track/2R1CjdVdXz7frvQRwCdQa6;
1999 (Clean Ver.);JOSH CULLEN;2024;Single;;https://open.spotify.com/track/3xs69KNexZpEwAQB0JLJNW;
