Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
Aitakatta - Gustong Makita;MNL48;2018;Aitakatta EP;;https://open.spotify.com/track/2jstC5XzlFJ4cy7N2WuqBB;
Talulot Ng Sakura;MNL48;2018;Aitakatta EP;;https://open.spotify.com/track/3DkReaz5OHlI6nrNbpMfGL;
Umiindak Na Saya;MNL48;2018;Aitakatta EP;;https://open.spotify.com/track/6yj5dkGLmZ7smriI9SoTRV;
Aitakatta - Gustong Makita (Instrumental);MNL48;2018;Aitakatta EP;;https://open.spotify.com/track/1B55yDQ2gFa3XEoiS3QkK9;
Talulot Ng Sakura (Instrumental);MNL48;2018;Aitakatta EP;;https://open.spotify.com/track/7Ao40Q3159e5WjNzORzQNc;
Umiindak Na Saya (Instrumental);MNL48;2018;Aitakatta EP;;https://open.spotify.com/track/49rCC4a2RYw7NakzBxfAeO;
Pag-ibig Fortune Cookie;MNL48;2018;Pag-ibig Fortune Cookie;;https://open.spotify.com/track/3vrBLGeS9H8VNynzXLB47;
Palusot Ko'y Maybe;MNL48;2018;Pag-ibig Fortune Cookie;;https://open.spotify.com/track/54fdIke4ZD7CJ1MFfFhK91;
First Rabbit;MNL48;2018;Pag-ibig Fortune Cookie;;https://open.spotify.com/track/1asDhWHH4uxfeOdFJUwrqz;
Ikaw Ang Melody;MNL48;2019;Ikaw Ang Melody;;https://open.spotify.com/track/2JsDxKiPzu5bc0LJ2TpHJ7;
High Tension;MNL48;2020;High Tension;;https://open.spotify.com/track/7AWOzJF2m3JHYntqQS3DSU;
River;MNL48;2020;River;;https://open.spotify.com/track/6l2ThRggrbKRQF5fZs3qOF;
No Way Man;MNL48;2022;No Way Man;;https://open.spotify.com/track/2nECfH1xGz8cPDLmBvTgxr;
Oh my pumpkin! - MNL48 ver.;MNL48;;Single;;https://open.spotify.com/track/3bEO2oxShz6tRPhrC2Xocz;
Summertime;MNL48;;Single;;https://open.spotify.com/track/3cg9gyXeP7NPGvwETkUydn;
Hashlove;MNL48;;Single;;https://open.spotify.com/track/4F5BPY1Ej9refTY5QhkhFj;
Sampung Taon Ng Sakura;MNL48;;Unknown;;https://open.spotify.com/track/6OJueMS8Pxd2XtTY47YS0S;
Labrador Retriever;MNL48;;Unknown;;https://open.spotify.com/track/0y7AfZxlNz4Olk4bJmdeM5;
1!2!3!4! Yoroshiku!;MNL48;;Unknown;;https://open.spotify.com/track/2Z4YEX1gLCndnfqWg3u7Np;
Green Flash;MNL48;;Unknown;;https://open.spotify.com/track/6C9APoI3TGO8EqDt1EZ464;
Gingham Check;MNL48;;Single;;https://open.spotify.com/track/2iAZKbJaNVmCIXusCdyunW;
