Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
Da Coconut Nut;BINI;2020;Single;;https://open.spotify.com/track/0oSyeQT1PrwyPreTBq2dDN;
Born To Win;BINI;2021;Born to Win;;https://open.spotify.com/track/5ZzJXBVQCTolSrzUdPJduW;
Golden Arrow;BINI;2021;Born to Win;;https://open.spotify.com/track/4XQV9Qs6N1sjfOq83IhILo;
B HU U R;BINI;2021;Born to Win;Kritiko;https://open.spotify.com/track/6B8LtMPhqUFuqQIxi5y8yb;
Na Na Na;BINI;2021;Born to Win;;https://open.spotify.com/track/4aqkICleG6HLRc2ygpWqN1;
Kinikilig;BINI;2021;Born to Win;;https://open.spotify.com/track/2t76tRFVKZOz0nzTEnVV7u;
Kapit Lang;BINI;2021;Born to Win;;https://open.spotify.com/track/47FtbLmQPMVEGbmKTmNnbb;
8;BINI;2021;Born to Win;;https://open.spotify.com/track/6i6gQ9Mqnv4Sn7OlfObobC;
Here With You;BINI;2021;Born to Win;;https://open.spotify.com/track/1Q6UGbt7c2l4HnopdXNHpS;
Born To Win (Bahasa Version);BINI;2021;Born to Win;;https://open.spotify.com/track/394JRt671aKXriMkSgQdlX;
Born To Win (Japanese Version);BINI;2021;Born to Win;;https://open.spotify.com/track/6tPZhsZ88xN6qeoiB2jMSh;
Born To Win (Thai Version);BINI;2021;Born to Win;;https://open.spotify.com/track/2LFxumraiSEPCBIo7rGQwH;
Born To Win (Spanish Version);BINI;2021;Born to Win;;https://open.spotify.com/track/1OHZoYZUc7RmPqISO7aKCS;
Born To Win (Acapella);BINI;2021;Born to Win;;https://open.spotify.com/track/3wOh9gU88iPeQO4eHBq23z;
Born To Win (EDM Version);BINI;2021;Born to Win;;https://open.spotify.com/track/1vJuqN76Wrrxl9FcGc8JCi;
Born To Win (String Quartet Version);BINI;2021;Born to Win;;https://open.spotify.com/track/6DrXWDcVYh933uk9ygjFyT;
Born To Win (Instrumental);BINI;2021;Born to Win;;https://open.spotify.com/track/2RisvAWnWIxFGz3cSFknSY;
Born To Win (Latin Version);BINI;2021;Born to Win;;https://open.spotify.com/track/7CCXN1euWg5yU21YTYbR0K;
Pit a Pat;BINI;2022;Single;;https://open.spotify.com/track/5uo819IFkx2XeL5cLNhfsU;
Love Yourself;BINI;2022;Single;;https://open.spotify.com/track/7uB49FMeQDpoVwTSYnYsdz;
Up!;BINI;2022;Single;BGYO;https://open.spotify.com/track/7aii4AQA1uyyzGcfqtApy1;
Kabataang Pinoy;BINI;2022;Single;SB19, Jonathan Manalo;https://open.spotify.com/track/6aXWWGw7sQJLx82jZndSQZ;
Made for All;BINI;2022;Single;;https://open.spotify.com/track/580EzR9sfqKVUTRGAcPzcN;
No Fear;BINI;2022;Feel Good;;https://open.spotify.com/track/5xNbWnsQJ9lyzPlK36J1cm;
Lagi;BINI;2022;Feel Good;;https://open.spotify.com/track/5YV9UyeC3dMV4kuRiTMGJs;
I Feel Good;BINI;2022;Feel Good;;https://open.spotify.com/track/4ugPBlOXJtKOkOxQRQpUVE;
Huwag Muna Tayong Umuwi;BINI;2022;Feel Good;;https://open.spotify.com/track/7haQq014RoahMX6spW4z1z;
Strings;BINI;2022;Feel Good;;https://open.spotify.com/track/4J20QVGtdAAOYMpb8iY2GG;
Lagi (Acoustic Version);BINI;2022;Feel Good;;https://open.spotify.com/track/4o9MuuglWRF9SqZ9hDDHE4;
Strings (Dance Version);BINI;2022;Feel Good;;https://open.spotify.com/track/2u12rBuVmArXK9N1iGsaIa;
Karera;BINI;2023;Talaarawan;;https://open.spotify.com/track/1RL9cRcuzCrs75Wb2aq9Op;
