Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
Letters Never Sent;Arthur Nery;2019;Letters Never Sent;;https://open.spotify.com/track/2kcF2hBLEPx6oD3KzKxASl;
Hung Up;Arthur Nery;2019;Letters Never Sent;;https://open.spotify.com/track/5YHXL4ggZEHZUgQBgLF0Oz;
Got Me Tangled;Arthur Nery;2019;Letters Never Sent;;https://open.spotify.com/track/4u64obrtHkeaBk9pmiaWdw;
Binhi;Arthur Nery;2019;Letters Never Sent;;https://open.spotify.com/track/0sNZsYY8LSCCM4tC2y0zR1;
I'd Still Kiss You;Arthur Nery;2019;Letters Never Sent;;https://open.spotify.com/track/4aEX8nrDpOxHve37fo8myJ;
Letters Never Sent II;Arthur Nery;2019;Letters Never Sent;;https://open.spotify.com/track/5Q44apDbGMoiGHqFMhafWU;
Favorite Vice;Arthur Nery;2019;Letters Never Sent;Meeks;https://open.spotify.com/track/3FejwInTNiOxTOu0b8V3XX;
Life Puzzle;Arthur Nery;2019;Letters Never Sent;;https://open.spotify.com/track/0fzqQpW4G1vxIC1MTlzeY0;
Higa;Arthur Nery;2019;Letters Never Sent;;https://open.spotify.com/track/7gfrASeOt73YWvpIv1fU8E;
Cotton Candy;Arthur Nery;2019;Letters Never Sent;;https://open.spotify.com/track/5eyQmt4Ba7ZzudMIqA6yKo;
Na naman;Arthur Nery;2024;II: The second;;https://open.spotify.com/track/3EMWqEJSk0wqwi5JUYA9l1;
I Gotchu;Arthur Nery;2024;II: The second;;https://open.spotify.com/track/1CsqHMbiESJ3WNivRPxJqj;
Di Nakakasawa;Arthur Nery;2024;II: The second;Kiyo;https://open.spotify.com/track/60mzK1F8VTNfWGaSFprYfI;
Lullaby;Arthur Nery;2024;II: The second;Jolianne;https://open.spotify.com/track/0aYQkDnWVFHScyvs1PmTN8;
Get Going;Arthur Nery;2024;II: The second;jon mejia;https://open.spotify.com/track/5vls9X7yraBXvqfAFYpTuU;
o ninanais;Arthur Nery;2024;II: The second;;https://open.spotify.com/track/2PCEvnMVqgUgq9RmmXWHvk;
Segundo, Siguro;Arthur Nery;2024;II: The second;;https://open.spotify.com/track/62nyaBKPLRSJnoz5xgVsaP;
Nasa'king Damdamin;Arthur Nery;2024;II: The second;;https://open.spotify.com/track/47Nu8iP24s6dzATvqHOYkH;
Foolish;Arthur Nery;2024;II: The second;;https://open.spotify.com/track/6CBECmTOulQcPCw3ufGtNk;
Paalam Lang Ang Palagi;Arthur Nery;2024;II: The second;;https://open.spotify.com/track/1Y5hN1zjgXTtssEYOrFciH;
Happy w u;Arthur Nery;2020;Single;Jason Dhakal;https://open.spotify.com/track/1n94XVEMS40MCW52AyLGDs;
TAKE ALL THE LOVE;Arthur Nery;2021;Single;;https://open.spotify.com/track/2v6jmF6VQWS96x6tSg05IC;
Pagsamo;Arthur Nery;2021;Single;;https://open.spotify.com/track/0WZqHCoOBXqgCCIsUZLC2a;
Isa lang;Arthur Nery;2021;Single;;https://open.spotify.com/track/0HAG6nIiEKd75yGpovuSJQ;
Sinag;Arthur Nery;2022;Single;Sam Benwick;https://open.spotify.com/track/5DARNIgi6aaJxGD5SKAUal;
Mikasa;Arthur Nery;2024;Single;Janine Berdin;https://open.spotify.com/track/12TuXwmfjap9XnPVtBHS8B;
Ayaw Baya;Arthur Nery;2025;Single;;https://open.spotify.com/track/42Xk3IBopZoqG5R9YSctGS;
Paralisado;Arthur Nery;2026;Single;Adie;https://open.spotify.com/track/0uLaVOitbCPo8xOnFbYcfD;
Higa;Arthur Nery;2024;Elevator (OST);;https://open.spotify.com/track/3EJpFH1jtgsocLynmFDuDm;
Pelikula;Arthur Nery;2021;Single;Janine;https://open.spotify.com/track/663vZfMh88Uo2bfTx6wiE4;
Turbo;Arthur Nery;2023;Single;MANILA GREY;https://open.spotify.com/track/6muijR8MRpGebvqYGirdnH;
Sabik;Arthur Nery;2023;LOVES7AGE;DENY;https://open.spotify.com/track/6vMDpwwkfsvSIsH6EVOgWz;
OYAYI;Arthur Nery;2024;Single;Alisson Shore, Keene Leonor;https://open.spotify.com/track/5iXSkIei0VoKtw8tpsupg3;
Palaisipan;Arthur Nery;2025;Single;Loonie;https://open.spotify.com/track/5Qsa2a1GStao34PdmEJUN2;
Palayo Sa Mundo;Arthur Nery;2025;Single;Jolianne;https://open.spotify.com/track/4FVZYiCvdLIX8NpcY0lzda;
Pagsamo;Arthur Nery;2021;My Husband, My Lover (OST);;https://open.spotify.com/track/7tomn3YvPcgIZZbpXHv8Sd;
Binhi;Arthur Nery;2021;Taya (OST);;https://open.spotify.com/track/1xAjV3G5Kp0nLDyCb09x0M;
TAKE ALL THE LOVE;Arthur Nery;2022;Kitty K7 (OST);;https://open.spotify.com/track/3cC0xDjDjjxNhy1oGQHvcN;
Aurora Skies;fitterkarma;2019;Single;;https://open.spotify.com/track/0O6A4Wjo3GcwanYNHpxdhb;
Pambihira;fitterkarma;2019;Single;;https://open.spotify.com/track/2lE36J56tNDWrRE7sNmrkl;
pakinggan mo...;fitterkarma;2022;pakinggan mo... (EP);;https://open.spotify.com/track/2TCu6hK0VzFUiHTmNEFICH;
KAMATAYAN!!!;fitterkarma;2022;pakinggan mo... (EP);;https://open.spotify.com/track/5bcH0qGjvkBZ9H2Maw4IHv;
Multo, Pt. 1;fitterkarma;2022;pakinggan mo... (EP);;https://open.spotify.com/track/2AufDrEsHko12Kuq0Uiuh0;
Isang Pangako;fitterkarma;2022;pakinggan mo... (EP);;https://open.spotify.com/track/1TOtcBVUS8PrtoPT5LZW0C;
Multo, Pt. 2;fitterkarma;2022;pakinggan mo... (EP);;https://open.spotify.com/track/6E66NRYTRz3v6ATLONY1nT;
Pambihira - EP Version;fitterkarma;2022;pakinggan mo... (EP);;https://open.spotify.com/track/2Fg1gy28BmRy0pGH8IJeWG;
Kalapastangan;fitterkarma;2023;Single;;https://open.spotify.com/track/1udOOSbJnytCdgvbgYOF5s;
Pag-Ibig ay Kanibalismo II;fitterkarma;2025;Single;;https://open.spotify.com/track/410fyfFghBsxNu45LiNJ24;
Pag-Ibig ay Kanibalismo I;fitterkarma;2025;Single;;https://open.spotify.com/track/1D5QYhOVApBxelGLXSenLC;
Sumpa;fitterkarma;2025;Single;;https://open.spotify.com/track/53TEymid26RSQwfL3UrYru;
City Lights;December Avenue;2017;December Avenue;;https://open.spotify.com/track/697IbjmVbS0WHKtnTELl28;
Sleep Tonight;December Avenue;2017;December Avenue;;https://open.spotify.com/track/0KzB2OAG7oYEPOsNcXf6T6;
Fallin';December Avenue;2017;December Avenue;Clara Benin;https://open.spotify.com/track/6uEbzsk9Yd9zXRG2yBIi0n;
Ears and Rhymes;December Avenue;2017;December Avenue;;https://open.spotify.com/track/5BD8R2Pia1PVgigtXzNRgf;
I'll Be Watching You;December Avenue;2017;December Avenue;;https://open.spotify.com/track/4ebS8gRsLGEGj2WuWxoRCw;
Back to Love;December Avenue;2017;December Avenue;;https://open.spotify.com/track/3UWiaiNoFJeAUrfeD1VsxI;
Eroplanong Papel;December Avenue;2017;December Avenue;;https://open.spotify.com/track/7MrDNu3hC1MjczXhi1citM;
Dive;December Avenue;2017;December Avenue;;https://open.spotify.com/track/4pLmH9m91KyK8niExb4FqX;
Forever;December Avenue;2017;December Avenue;;https://open.spotify.com/track/7DoNgStBB6xFiCTZArAN15;
Breathe Again;December Avenue;2017;December Avenue;;https://open.spotify.com/track/6hkF8mX99UDWUoHQ6xwsjK;
Time to Go;December Avenue;2017;December Avenue;;https://open.spotify.com/track/3rUM8jx286gnBExSGYrV8f;
Bulong;December Avenue;2019;Langit Mong Bughaw;;https://open.spotify.com/track/5rV7xueHNNXaZqOLroaUta;
Kung 'Di Rin Lang Ikaw;December Avenue;2019;Langit Mong Bughaw;Moira Dela Torre;https://open.spotify.com/track/2KjZEVkRS7wStfRygdRnso;
Magkunwari ('Di Man Tayo);December Avenue;2019;Langit Mong Bughaw;;https://open.spotify.com/track/3bJy1UduTNMnnk1soBYyrK;
Muling Magbabalik;December Avenue;2019;Langit Mong Bughaw;;https://open.spotify.com/track/0Feg1cg32vp3EmVwEvSYFE;
Sa Ngalan Ng Pag-Ibig;December Avenue;2019;Langit Mong Bughaw;;https://open.spotify.com/track/1FnPkOlWCMwRtfXeAAuhMu;
Sa Paghimig Mo;December Avenue;2019;Langit Mong Bughaw;;https://open.spotify.com/track/5VIXkOeKsZDYye15Xhr5sT;
