Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
A Beginning of Something Wonderful;Orange & Lemons;2018;Love in the Land of Rubber Shoes & Dirty Ice Cream (15th Anniversary Edition);;https://open.spotify.com/track/3fJXN14hQ9ZmJKmyO64Paq;
Just Like a Splendid Love Song;Orange & Lemons;2018;Love in the Land of Rubber Shoes & Dirty Ice Cream (15th Anniversary Edition);;https://open.spotify.com/track/5e2YxCroSZ6TdecwSPxRL3;
Kailangan Kita;Orange & Lemons;2018;Love in the Land of Rubber Shoes & Dirty Ice Cream (15th Anniversary Edition);;https://open.spotify.com/track/5B0i07cVGTLqOXGFe6gpGr;
My Butterfly;Orange & Lemons;2018;Love in the Land of Rubber Shoes & Dirty Ice Cream (15th Anniversary Edition);;https://open.spotify.com/track/432to3pc4aVM1dMs43ZBgZ;
Armageddon Is Coming to Town;Orange & Lemons;2018;Love in the Land of Rubber Shoes & Dirty Ice Cream (15th Anniversary Edition);;https://open.spotify.com/track/3gEWrUpXMafaPnwCbaiDEf;
She's Leaving Home;Orange & Lemons;2018;Love in the Land of Rubber Shoes & Dirty Ice Cream (15th Anniversary Edition);;https://open.spotify.com/track/3joPdgp410s5VnNTVrVtzC;
When I'm With You;Orange & Lemons;2018;Love in the Land of Rubber Shoes & Dirty Ice Cream (15th Anniversary Edition);;https://open.spotify.com/track/1YCFpJ2h5r2gY4K2yhEc1j;
Isang Gabi;Orange & Lemons;2018;Love in the Land of Rubber Shoes & Dirty Ice Cream (15th Anniversary Edition);;https://open.spotify.com/track/12odJmlXWnO51UwliXD5Wq;
Hey, Please;Orange & Lemons;2018;Love in the Land of Rubber Shoes & Dirty Ice Cream (15th Anniversary Edition);;https://open.spotify.com/track/0l7cGAmZWbO6nlqUlvskf1;
Days and Nights;Orange & Lemons;2018;Love in the Land of Rubber Shoes & Dirty Ice Cream (15th Anniversary Edition);;https://open.spotify.com/track/6B1n9N3sLtdXHn1Z0c8Qgn;
If I Could Speak My Mind;Orange & Lemons;2018;Love in the Land of Rubber Shoes & Dirty Ice Cream (15th Anniversary Edition);;https://open.spotify.com/track/2zJTKhpRIdHOo6j1kpuTow;
Lovers Go, Lovers Come;Orange & Lemons;2018;Love in the Land of Rubber Shoes & Dirty Ice Cream (15th Anniversary Edition);;https://open.spotify.com/track/6t81EIMoav7skmt1sK5Hsk;
Strike Whilst the Iron Is Hot;Orange & Lemons;2005;Strike Whilst the Iron Is Hot;;https://open.spotify.com/track/0aIPObis8pAFAXs3HjLmdO;
Hanggang Kailan - Umuwi Ka Na Baby;Orange & Lemons;2005;Strike Whilst the Iron Is Hot;;https://open.spotify.com/track/69u8qQcaA3o0A7Ko87juqp;
Cycle of Love;Orange & Lemons;2005;Strike Whilst the Iron Is Hot;;https://open.spotify.com/track/3bNTpnQcl4P8ZMvdjQy20t;
Rock-a-Bye;Orange & Lemons;2005;Strike Whilst the Iron Is Hot;;https://open.spotify.com/track/6ogs5XTaiDJXzayKwGeWCu;
Pabango Ng 'Yong Mata;Orange & Lemons;2005;Strike Whilst the Iron Is Hot;;https://open.spotify.com/track/50Ph0l2b5SvDxxh7YITlcD;
Heaven Knows - This Angel Has Flown;Orange & Lemons;2005;Strike Whilst the Iron Is Hot;;https://open.spotify.com/track/0Qra8Ps4tJAZPqRXyehCjc;
Yer so Special;Orange & Lemons;2005;Strike Whilst the Iron Is Hot;;https://open.spotify.com/track/5IEovxDuhfOnplMLNjaiUK;
The Nerve;Orange & Lemons;2005;Strike Whilst the Iron Is Hot;;https://open.spotify.com/track/7p9JRi1sFGCzgZXynKmSHk;
Caught in a Line;Orange & Lemons;2005;Strike Whilst the Iron Is Hot;;https://open.spotify.com/track/2Vf4jqIDpWAnmnBjyjd9Kk;
Lihim;Orange & Lemons;2005;Strike Whilst the Iron Is Hot;;https://open.spotify.com/track/3ySCmMzy6wyk3c1cbauxaI;
Chatter's Tale;Orange & Lemons;2005;Strike Whilst the Iron Is Hot;;https://open.spotify.com/track/6ecu6k6MuESCVT3oiCt9lC;
Tomorrow;Orange & Lemons;2005;Strike Whilst the Iron Is Hot;;https://open.spotify.com/track/3y5Al5gW2Ac7ECekoYWNEL;
Pinoy Ako;Orange & Lemons;2005;Pinoy Ako (Single);;https://open.spotify.com/track/2Hyb5p8yGDkYvwOEOzIjaD;
Huwag Kang Matakot;Orange & Lemons;2005;Ultraelectromagnetic Jam (Compilation);;https://open.spotify.com/track/71zj7v7wxqUOqkHBDHQoIl;
Yakap sa Dilim;Orange & Lemons;2006;Kami Napo Muna (Compilation);;https://open.spotify.com/track/6uDYCYObYXJXoMnCzz8083;
Tuloy Na Tuloy Pa Rin Ang Pasko;Orange & Lemons;2006;OPM Gold Christmas (Compilation);;https://open.spotify.com/track/09WRYUkprsKP2jIL6mqKhz;
Prologue;Orange & Lemons;2007;Moonlane Gardens;;https://open.spotify.com/track/1cBdInOKwph8hcUXlgSWqe;
Moonlane Gardens;Orange & Lemons;2007;Moonlane Gardens;;https://open.spotify.com/track/5rZxXBRjYqtRU3PK3Hi96E;
