Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
Bling!;Raya;2025;Single;;https://open.spotify.com/track/1YuyneE52MmKXJoEwP0BzeP;
Bongga Ka Day;Raya;2025;Single;;https://open.spotify.com/track/21NqR3XMIgTJlE1r3vw63w;
Diva Diba;Raya;2025;Single;;https://open.spotify.com/track/1sxikOI4GwhpQSxBobyo2U;
Dalangin;Raya;;Unknown;;https://open.spotify.com/track/5Vx97LLRhCygK9J71EiWNs;
How You Feel;Raya;;Unknown;;https://open.spotify.com/track/1nzTJFLbUQkYkkTCabaX7E;
Salo;Raya;;Unknown;;https://open.spotify.com/track/7JhIJnyuu4ZZqdgjJhYMBk;
A Little Bit;Raya;;Unknown;;https://open.spotify.com/track/07CEwSWwzrxo8ph0OzwIGK;
Star Song;Raya;;Unknown;;https://open.spotify.com/track/1clvYIweo26drHr8vE1Ogj;
Get Me;Raya;;Unknown;;https://open.spotify.com/track/4z9Sb5xWc7F00xxtc3hynL;
Sana Walang Magbago;Raya;;Unknown;;https://open.spotify.com/track/0AKIfOLmM8ldiqg19FuYYe;
Sa Liwanag Ng Buwan;Raya;;Unknown;;https://open.spotify.com/track/2jrZ2dzGYnMHVizpV2ybHZ;
Para-Paraan;Raya;;Unknown;;https://open.spotify.com/track/6oOVnNCJuyLNK2o598TOVY;
For The Chosen;Raya;;Unknown;;https://open.spotify.com/track/37BxD4UQYHuo8YrGXF8SLw;
Get Me;Raya;;Single;;https://open.spotify.com/track/4FtKqtjneFrpYYCledWydz;
