Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
Baby I Tried;Rob Deniel;2020;Baby I Tried (Single);;https://open.spotify.com/track/2apKzuGveE4XFji5KRpBNX;
Ulap;Rob Deniel;2020;Ulap (Single);;https://open.spotify.com/track/0yBycfuTYOoDrvfP5wY2Ux;
Gabi;Rob Deniel;2020;Gabi (Single);;https://open.spotify.com/track/7EYCghalyb9OyI2zrEbcQa;
Ang Rosas;Rob Deniel;2021;Ang Rosas (Single);;https://open.spotify.com/track/6tLvshGEzAStJoGu4NRUMA;
Ulap / Miracle Nights;Rob Deniel;2021;Ulap / Miracle Nights (Single);ALLMO$T;https://open.spotify.com/track/1zR9hWzLpNeR4ZcXEPWswl;
Abante;Rob Deniel;2021;Abante (Single);ALLMO$T;https://open.spotify.com/track/5X2idPEuWjcWAHFlmV5Axx;
Darling, Darling;Rob Deniel;2021;Darling, Darling (Single);;https://open.spotify.com/track/0mgbFVGzXKO41p9oxoas0c;
Ulap;Rob Deniel;2021;Ulap (Original Soundtrack from the Vivamax Movie "Sa Haba Ng Gabi");;https://open.spotify.com/track/5B9wx68hXK5IBic4YDTLUr;
Diwa;Rob Deniel;2021;Diwa (Single);;https://open.spotify.com/track/4cIed7uJzUPVbGNGXOuZI7;
Ang Rosas;Rob Deniel;2022;Silip Sa Apoy (Original Soundtrack from the Vivamax Movie);;https://open.spotify.com/track/3zIFQXEmOgl2xqo0PK9OfX;
Kundiman;Rob Deniel;2022;Kundiman (Single);;https://open.spotify.com/track/5o4ahNCar7wJCtcI1wXt54;
Sinta;Rob Deniel;2022;Sinta (Single);;https://open.spotify.com/track/0aCmjkogiWIRu7205eZK6I;
Ang Pag-ibig;Rob Deniel;2023;Ang Pag-ibig (Single);;https://open.spotify.com/track/639Wg7NFfgbwjSwDphqgvz;
Darling, Darling;Rob Deniel;2023;Baby Boy Baby Girl (Original Movie Soundtrack);;https://open.spotify.com/track/2jk2A1Mg85BBLQ6ArcgYqf;
Ang Pag-ibig;Rob Deniel;2023;Wish You Were The One (Original Movie Soundtrack);;https://open.spotify.com/track/1UHvivxQYbWD5mUx2NiBg0;
RomCom;Rob Deniel;2023;RomCom (Single);;https://open.spotify.com/track/67DEADzgSxkFWI3jVlQUL3;
Miss Miss;Rob Deniel;2023;Miss Miss (Single);;https://open.spotify.com/track/2yer0zhfBNd1vxZ4Ug2dEU;
Ang Pag-ibig;Rob Deniel;2024;Dearly Beloved (Original Movie Soundtrack);;https://open.spotify.com/track/3xbqnhwrLvK6SiSOHtNOe5;
Ulap;Rob Deniel;2024;Sem Break (A Viva One Original Series Soundtrack);;https://open.spotify.com/track/2BW42ayZlrZ4RUKlIsVEgX;
Ulap;Rob Deniel;2024;Sem Break (Original Soundtrack);;https://open.spotify.com/track/0XVg99A6JlkHE2tOUX3dM7;
Distansya;Rob Deniel;2024;Distansya (Single);Janine Tenoso;https://open.spotify.com/track/5ckv9XlKXJN6JccRJFjfyv;
Miss Miss;Rob Deniel;2024;40 (Original Motion Picture Soundtrack);;https://open.spotify.com/track/0hfDF2gbfFKT2uvTRXU0T1;
Arrowmance;Rob Deniel;2024;Arrowmance (Single);;https://open.spotify.com/track/7hh6oTg0HAnNa4u1MQUxhq;
Arrowmance;Rob Deniel;2024;Chasing In The Wild (A Viva One Original Series Soundtrack);;https://open.spotify.com/track/6FfPKNx06n49myPB5U0Btv;
