Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
Tensionado;Soapdish;2005;Soapdish;;https://open.spotify.com/track/10BtDxfJOArEZUDuvwOh7h;
Ewan Ko;Soapdish;2005;Soapdish;;https://open.spotify.com/track/5DiDneDWvqYGywkttP36Wt;
Sandali;Soapdish;2005;Soapdish;;https://open.spotify.com/track/63UMk4N8yRqMk4Qn8aHv1K;
Sana Sinabi;Soapdish;2005;Soapdish;;https://open.spotify.com/track/21I0JyD3ojXpb8ayMk4vR3;
Would You;Soapdish;2005;Soapdish;;https://open.spotify.com/track/6zWRBJE9yzCzvWVPHIrkdz;
Pain Redefined;Soapdish;2005;Soapdish;;https://open.spotify.com/track/426c2HbqXBHpHUyQ5Q3yAm;
Nana Song;Soapdish;2005;Soapdish;;https://open.spotify.com/track/1iDRBD59ypuMOBsqTfzUPl;
Dahil Sa Ulan;Soapdish;2005;Soapdish;;https://open.spotify.com/track/6ERFm2JEWL7Q8ffxJWVY7N;
Aimee;Soapdish;2005;Soapdish;;https://open.spotify.com/track/5R96SO3jc0HA4VyqE86gof;
Higher;Soapdish;2005;Soapdish;;https://open.spotify.com/track/7duN28CrzgWp8n877i2c8B;
Pwede Ba;Soapdish;2005;Soapdish;;https://open.spotify.com/track/6Dp6EgD4BsyRLWGKdKLbPI;
Hintay;Soapdish;2005;Soapdish;;https://open.spotify.com/track/2YICsbZ2uQDI3WNGZjeEXO;
Di Na Bale;Soapdish;2009;Goodluck...goodbye;;https://open.spotify.com/track/6hN1axsQKLicfbHnSGZrbR;
Parang Si Ely Buendia;Soapdish;2009;Goodluck...goodbye;;https://open.spotify.com/track/5tjninOQWlfMQOWZ854pCr;
Adjust;Soapdish;2009;Goodluck...goodbye;;https://open.spotify.com/track/1SSyLzAHbhcnDUAS4WTUhv;
Sinehan;Soapdish;2009;Goodluck...goodbye;;https://open.spotify.com/track/4tMet6TYaZed5sueCvaphK;
Sang Parte?;Soapdish;2009;Goodluck...goodbye;;https://open.spotify.com/track/6k8QN6PbxksGprSeYABlqO;
Like a Star;Soapdish;2009;Goodluck...goodbye;;https://open.spotify.com/track/1etEImw1tKzZZSqmo9lBkA;
As I Fall;Soapdish;2009;Goodluck...goodbye;;https://open.spotify.com/track/3mbYOQ6VUnNq2z5OS8RuUP;
Lahat Ng Sinabi;Soapdish;2009;Goodluck...goodbye;;https://open.spotify.com/track/3VGbjeGpJBVQujQlexlrxt;
I Don't Love You Anymore;Soapdish;2009;Goodluck...goodbye;;https://open.spotify.com/track/4e7K5UrEZRMUHCOLqnFYTA;
Theme from "Goodluck...goodbye";Soapdish;2009;Goodluck...goodbye;;https://open.spotify.com/track/4YqAaITQ9EApTKwl1H8pgq;
Sinehan (feat. Acel Van Ommen);Soapdish;2009;Goodluck...goodbye;Acel Van Ommen;https://open.spotify.com/track/1VXmL9aclQRWXKpqWxKGVH;
Pwede Na;Soapdish;2009;Goodluck...goodbye;;https://open.spotify.com/track/77oJTMuIX7ThVrt5MVexai;
Kung Nandito Ka Sana;Soapdish;2014;Training;;https://open.spotify.com/track/69F8pct2YAm7Td4k0r323g;
Patamisin (Beach Song);Soapdish;2014;Training;;https://open.spotify.com/track/22FH2ANUQZQTlA2UJadNDa;
Wag Ka Sana Munang Umuwi;Soapdish;2014;Training;;https://open.spotify.com/track/4aA97Y8Gu72ffizJqBvqZC;
Training;Soapdish;2014;Training;;https://open.spotify.com/track/0Fbiaz5p93hvMKhp06GMPM;
Kung Pwede Lang;Soapdish;2017;Kung Pwede Lang;;https://open.spotify.com/track/1fl3iYqZuyFnU6yKFZQt2T;
Kahit Maputi Na Ang Buhok Ko;Soapdish;2018;The Best Of Manila Sound Hopia, Mani, Popcorn;;https://open.spotify.com/track/0wS7zXRvaeW5bsDJ95KWHV;
Totoo;Soapdish;2019;Totoo;;https://open.spotify.com/track/0dmWl6bfzyZC3um0dPxqlo;
Bistado Ka!;Soapdish;2022;Bistado Ka!;Tamara;https://open.spotify.com/track/49GsEccKCkjP7IHbceF6QG;
Pinapaasa;Soapdish;2025;Pinapaasa;;https://open.spotify.com/track/5O6hOrPYNaWVhDgwrSppD7;
