Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
Burnout;Sugarfree;2003;Sa Wakas;;https://open.spotify.com/track/0ZCCbW4Aym7b5QdQUKfVdv;
Hintay;Sugarfree;2003;Sa Wakas;;https://open.spotify.com/track/5I4c76Wb6v1rwXTAQEhegk;
Mundong Malungkot;Sugarfree;2003;Sa Wakas;;https://open.spotify.com/track/4d4G1xKOCri19atWZ8bZ7K;
Taguan;Sugarfree;2003;Sa Wakas;;https://open.spotify.com/track/5yC82a54sOtQ2LCCFtvxqB;
Fade Away;Sugarfree;2003;Sa Wakas;;https://open.spotify.com/track/6JAuGCKj3B3nMiE0DSMFW6;
Unang Araw;Sugarfree;2003;Sa Wakas;;https://open.spotify.com/track/6XMbw97Y3AKrupBNYWoMpr;
Mariposa;Sugarfree;2003;Sa Wakas;;https://open.spotify.com/track/0UoD87S2X0X4eIpaYdPggn;
Telepono;Sugarfree;2003;Sa Wakas;;https://open.spotify.com/track/0DYRMkZrtfbsu48tTgMQ7A;
Tummy Ache;Sugarfree;2003;Sa Wakas;;https://open.spotify.com/track/26wmL5RrqCYZtdQdnq6a5Z;
Los Banos;Sugarfree;2003;Sa Wakas;;https://open.spotify.com/track/5DHaC29M4v9UGEtT8QWnUS;
Insomya;Sugarfree;2003;Sa Wakas;;https://open.spotify.com/track/1diwNRGyLEHD4IYJtOKH8F;
The Allan Song;Sugarfree;2003;Sa Wakas;;https://open.spotify.com/track/47m5VLjpp2gWXt2A83DGsh;
Sinta;Sugarfree;2004;Dramachine;;https://open.spotify.com/track/4w04MynsqG8a099v11oqXG;
Prom;Sugarfree;2004;Dramachine;;https://open.spotify.com/track/4wPMIp2wQfJuC8oi8xwM6C;
Kwentuhan;Sugarfree;2004;Dramachine;;https://open.spotify.com/track/2d5fvWIICycBcc0J33z15O;
Martir;Sugarfree;2004;Dramachine;;https://open.spotify.com/track/3FKaW8dU68ecJIjeOQqGUE;
Hari Ng Sablay;Sugarfree;2004;Dramachine;;https://open.spotify.com/track/32A32A7DicwrCUVcwOQZuO;
Tulog Na;Sugarfree;2004;Dramachine;;https://open.spotify.com/track/5ZPlhCh8KnB0bEnElxm1Et;
Limbo;Sugarfree;2004;Dramachine;;https://open.spotify.com/track/1g4cjMHFfmhjX0WavxnqxO;
Kandila;Sugarfree;2004;Dramachine;;https://open.spotify.com/track/5dRpCllltEPQ5h3rltLgxm;
Kwarto;Sugarfree;2004;Dramachine;;https://open.spotify.com/track/2eRjivfFnSuTPfSu0NTjby;
Alinlangan;Sugarfree;2004;Dramachine;;https://open.spotify.com/track/0BJiNTkmYc2ylP1kokor3b;
Tao;Sugarfree;2004;Dramachine;;https://open.spotify.com/track/3PRhdtyp6lfCJTMxOxMlyB;
Dramachine;Sugarfree;2004;Dramachine;;https://open.spotify.com/track/2EiXBSjCHF1dcSQ0hUA3L8;
Reprise;Sugarfree;2004;Dramachine;;https://open.spotify.com/track/0BBLunQSGOyBAVsvHbGfiB;
Cuida;Sugarfree;2006;Cuida (Single);;https://open.spotify.com/track/7909GI7njPhuaW2TUoy4Xl;
Makita Kang Muli;Sugarfree;2006;Makita Kang Muli (Single);;https://open.spotify.com/track/6mNCnQIhnurPP7lhC1zHEU;
Dear Kuya;Sugarfree;2006;Tala-Arawan;;https://open.spotify.com/track/3InHjI5KOvo2AKc57W06Kl;
Kailan Ka Ba?;Sugarfree;2006;Tala-Arawan;;https://open.spotify.com/track/5L5DOZP9hxwgItPy52clJC;
Kung Ayaw Mo Na Sa Akin;Sugarfree;2006;Tala-Arawan;;https://open.spotify.com/track/4VFt5sStQhpOYEYb5ggeuI;
Huling Gabi;Sugarfree;2006;Tala-Arawan;;https://open.spotify.com/track/02yziMGnkCjhU0encuUyi4;
Salamin;Sugarfree;2006;Tala-Arawan;;https://open.spotify.com/track/2Fzfp47z8gA1vrF5A3CqO2;
Nangangawit;Sugarfree;2006;Tala-Arawan;;https://open.spotify.com/track/6nONPhdObKyc8E7qnhFCV9;
Pasyal;Sugarfree;2006;Tala-Arawan;;https://open.spotify.com/track/4meTSK2YLHeewwczorj2b1;
Wari Ko'y;Sugarfree;2006;Tala-Arawan;;https://open.spotify.com/track/4O5gOI25UIjvlen6XmMeE7;
Ang Pinakamagaling Na Tao Sa Balat Ng Lupa;Sugarfree;2006;Tala-Arawan;;https://open.spotify.com/track/4lrnXoDt0YbxELJp0W9zJY;
Reunion;Sugarfree;2006;Tala-Arawan;;https://open.spotify.com/track/1gojE3POljvCBDOmK9TlHD;
Wag Ka Nang Umiyak;Sugarfree;2006;Tala-Arawan;;https://open.spotify.com/track/32ji0OatJNPwRN89IPdoLW;
Ikaw Pala;Sugarfree;2006;Tala-Arawan;;https://open.spotify.com/track/0VBPsMZtuMXAeCTDP2opa3;
Batang-Bata Ka Pa;Sugarfree;2006;Tala-Arawan;;https://open.spotify.com/track/5pH1NVl8xaMxbjPGRHDLby;
Overture (Live);Sugarfree;2008;Sugarfree Live!;;https://open.spotify.com/track/1k4QRBhgQ6k3O7R1RGLN5R;
Prom (Live);Sugarfree;2008;Sugarfree Live!;;https://open.spotify.com/track/32o6A4bLxm0wKXqR912gnw;
Hari Ng Sablay (Live);Sugarfree;2008;Sugarfree Live!;;https://open.spotify.com/track/4YCbkVvQI27mC6LlCegvzm;
Kwentuhan (Live);Sugarfree;2008;Sugarfree Live!;;https://open.spotify.com/track/7a58nQLvMQ2tkR8sAHAqv3;
Kwarto (Live);Sugarfree;2008;Sugarfree Live!;;https://open.spotify.com/track/5jqZHHmJ0ducKsGmed8RUC;
Telepono (Live);Sugarfree;2008;Sugarfree Live!;;https://open.spotify.com/track/4dV13UT6W8Tlcudf7WEcfb;
Kung Ayaw Mo Na Sa Akin (Live);Sugarfree;2008;Sugarfree Live!;;https://open.spotify.com/track/2tN3Y0i7ro3pU3I72E1Yo5;
Still Fighting It (Live);Sugarfree;2008;Sugarfree Live!;;https://open.spotify.com/track/0xACDGohfhzefkiI1Pt3rt;
Tulog Na (Live);Sugarfree;2008;Sugarfree Live!;;https://open.spotify.com/track/5wgaZPDijuMoFGNSRC3UmP;
Mariposa (Live);Sugarfree;2008;Sugarfree Live!;;https://open.spotify.com/track/0nkwaVDcocfnBDR4lsWSZa;
Huling Gabi (Live);Sugarfree;2008;Sugarfree Live!;;https://open.spotify.com/track/1iba95uUJl81aE4FDgIyE1;
Unang Araw (Live);Sugarfree;2008;Sugarfree Live!;;https://open.spotify.com/track/6GT8kyLLjv9gIr52yso0Hr;
Wag Ka Nang Umiyak (Live);Sugarfree;2008;Sugarfree Live!;;https://open.spotify.com/track/63FdPIXDlYh9mcV6vs4uFu;
Kailan Ka Ba (Live);Sugarfree;2008;Sugarfree Live!;;https://open.spotify.com/track/2tMnUo66TjrM6ahd54TOgT;
Ikaw Pala (Live);Sugarfree;2008;Sugarfree Live!;;https://open.spotify.com/track/2nBmOpYsicboMpfNWe2AcU;
Burnout (Live);Sugarfree;2008;Sugarfree Live!;;https://open.spotify.com/track/6ZeVmwL0J0wBNxad1agoqC;
Makita Kang Muli (Live);Sugarfree;2008;Sugarfree Live!;;https://open.spotify.com/track/6dbo6LjHJq26jEu2dYCwKs;
Batang-Bata Ka Pa (Live);Sugarfree;2008;Sugarfree Live!;;https://open.spotify.com/track/3pTRTycKcrcruS71u6yX28;
Dear Kuya (Live);Sugarfree;2008;Sugarfree Live!;;https://open.spotify.com/track/2MomG51WP2LPtqKkAi6Rhi;
Hay Buhay;Sugarfree;2009;Mornings And Airports;;https://open.spotify.com/track/27npF5wEOo6EGHpBxLOrAA;
Feels Like;Sugarfree;2009;Mornings And Airports;;https://open.spotify.com/track/2vnwCZbo21phjwXKDiMnNk;
Mornings and Airports;Sugarfree;2009;Mornings And Airports;;https://open.spotify.com/track/4iP227s3Qod0poExbIS4Xb;
Wala Nang Hihilingin;Sugarfree;2009;Mornings And Airports;;https://open.spotify.com/track/1wydswMxXLMQYKj7TmLp9I;
Hang Over;Sugarfree;2009;Mornings And Airports;;https://open.spotify.com/track/6P5xHX2VBugdRpDW6Cyy5Y;
Patawad;Sugarfree;2009;Mornings And Airports;;https://open.spotify.com/track/6nPmJk7v5GIfRFRtI199lv;
Get Over It;Sugarfree;2009;Mornings And Airports;;https://open.spotify.com/track/3wl9t619yLXCSEBRAIV8Wi;
Pagkatapos Ng Lahat;Sugarfree;2009;Mornings And Airports;;https://open.spotify.com/track/0R3KK2tlyFsgZtcbONF73C;
Wala;Sugarfree;2009;Mornings And Airports;;https://open.spotify.com/track/0M93AR3FXc8sm9KUpfUOHf;
Mamang Driver;Sugarfree;2009;Mornings And Airports;;https://open.spotify.com/track/3KvOPynn3UsAChyEMdGH37;
Heto Na Naman Tayo;Sugarfree;2009;Mornings And Airports;;https://open.spotify.com/track/1hm3q2tFhI7l4yT6rFT6rm;
Where Do We Go;Sugarfree;2009;Mornings And Airports;;https://open.spotify.com/track/2PHrLVCzbtMB3Ea8yRMZvO;
Form Factor;Sugarfree;2009;Mornings And Airports;;https://open.spotify.com/track/1O915sIt5JhFCHOPpx7H9c;
Walang Paalam;Sugarfree;2009;Mornings And Airports;;https://open.spotify.com/track/1efneoC2Ax96tHMbW9UYRR;
Nagkita Muli;Sugarfree;2020;Nagkita Muli (Single);;https://open.spotify.com/track/6r6aJCHyHl7oyI2umeGRvp;
