Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
Cold Summer Nights;TJ Monterde;2012;Ikaw At Ako;;https://open.spotify.com/track/1STnwpDn42OEYswvKPrqPk;
Hindi Mo Na Ba Minamahal;TJ Monterde;2012;Ikaw At Ako;;https://open.spotify.com/track/6wFwD4tikByE4vJqGApvU4;
Ikaw At Ako;TJ Monterde;2012;Ikaw At Ako;;https://open.spotify.com/track/5Fd57k6SVtzmddpHa5Axpv;
Iyong-Iyo;TJ Monterde;2012;Ikaw At Ako;;https://open.spotify.com/track/3puUFSuE0jsWw6AfhggNDa;
Mabuti Pa Sila;TJ Monterde;2012;Ikaw At Ako;;https://open.spotify.com/track/3MJmMPQn4QnOTKQrdGFi4s;
Mahal Na Mahal;TJ Monterde;2012;Ikaw At Ako;;https://open.spotify.com/track/2JV8RTA5yi8WFY2jD1oK0A;
Nandito Lang Ako;TJ Monterde;2012;Ikaw At Ako;;https://open.spotify.com/track/42bs4rLFDzby6vm6KhA9sn;
Sa Tuwina;TJ Monterde;2012;Ikaw At Ako;;https://open.spotify.com/track/0wzA0qM2hgT0Jjdt6tvwML;
Treat You Right;TJ Monterde;2012;Ikaw At Ako;;https://open.spotify.com/track/6qbUEOesf6n2J2iUf6jTOX;
Huwag Na Lang Kaya;TJ Monterde;2012;Ikaw At Ako;;https://open.spotify.com/track/0ugLIAcYViSioB8T7bLE3G;
Wala Ka Na;TJ Monterde;2012;Ikaw At Ako;;https://open.spotify.com/track/5ucpeO8c8PSzgLF3uk3UKx;
Imahinasyon;TJ Monterde;2016;TJ Monterde;;https://open.spotify.com/track/32RSH2iymU6dzFUugwG5Fw;
Dating Tayo;TJ Monterde;2016;TJ Monterde;;https://open.spotify.com/track/1l7TuyIge9siMw39a0dqXd;
Tulad Mo;TJ Monterde;2016;TJ Monterde;;https://open.spotify.com/track/1dUrWypbWYNgvC4cjQr69N;
Mahika;TJ Monterde;2017;Kahit Kunwari;;https://open.spotify.com/track/41xzX1HbikbLZVBVCnjS2l;
1,2,3;TJ Monterde;2017;Kahit Kunwari;;https://open.spotify.com/track/5jL5hOypWHymQk1wXatrTa;
Kahit Kunwari;TJ Monterde;2017;Kahit Kunwari;;https://open.spotify.com/track/0QMBFeJw27RktcFF9Zi1Rh;
Nitong Pusong Ito;TJ Monterde;2017;Kahit Kunwari;;https://open.spotify.com/track/5YCV2QT4YNujGZSHE2ZvyD;
Memories;TJ Monterde;2017;Kahit Kunwari;;https://open.spotify.com/track/45RvkFIxuGyVtIcyYlzNgs;
Tahanan;TJ Monterde;2019;Single;;https://open.spotify.com/track/5Fh34BynBCRdmKVuI5edoO;
Malay Mo, Tayo;TJ Monterde;2019;Single;;https://open.spotify.com/track/0cMcFcm3YvB8o1yKkYNv0a;
Hanggang Dito Na Lang;TJ Monterde;2020;Single;;https://open.spotify.com/track/0r1GaNFTdd0pVSVho9cDkg;
Sigurado;TJ Monterde;2022;Single;;https://open.spotify.com/track/4QtNafEPEoEXSxnOyWzq5I;
Walong Bilyon;TJ Monterde;2022;Single;;https://open.spotify.com/track/1U6m7grf7m7iOkCmCtF2Eu;
Palagi;TJ Monterde;2023;Single;;https://open.spotify.com/track/0sqnYgWOw9DMc6jRgkcB2m;
Palagi - TJxKZ Version;TJ Monterde;2024;Single;KZ Tandingan;https://open.spotify.com/track/4WgViu9gw3qYOr3iF9OuLG;
Sariling Mundo;TJ Monterde;2024;Single;;https://open.spotify.com/track/3QWCnRuQW5P602ZzHXLv7Z;
Unang Halik;TJ Monterde;2025;Single;;https://open.spotify.com/track/5ndlclTMoJemP6lO8hfBex;
Hiraya Manawari;TJ Monterde;;Single;;https://open.spotify.com/track/5Lvud3aK0AjltXJEW7sHGV;
Pahinga;TJ Monterde;;Unknown;;https://open.spotify.com/track/5gsrnGObHgA9RxbzSbsHj9;
Pahinga - Live at the farm;TJ Monterde;;Unknown;;https://open.spotify.com/track/1kLNwBIuu17HzEcPfGRzuT;
Silver;TJ Monterde;;Unknown;;https://open.spotify.com/track/1EloEA5K27wMQMHok9GP2x;
After 3;TJ Monterde;;Unknown;;https://open.spotify.com/track/7fucJHWl7ssOzaaf5ubYiq;
Silver;TJ Monterde;;Single;;https://open.spotify.com/track/3eZMRJkj4Q78YJ2iGxKjgI;
