Song Title;Artist;Year;Album/EP/Single;Collaborating Artist(s);Spotify Link;Streams
The Beast;VXON;2022;Single;;https://open.spotify.com/track/3lT5vZpGqBBwg3N2x8yiJ4;
P.S.;VXON;2022;Single;;https://open.spotify.com/track/6jVFnHVmS5QyTj6GJG4C2L;
Fiyaah;VXON;2022;Single;;https://open.spotify.com/track/4u9vGR6FZ2bCsP3dVyPuYw;
Reach The Top;VXON;2022;Single;;https://open.spotify.com/track/0hq2xMIFcJbP3GBdDfN9Vt;
LUV IS;VXON;2022;Single;Zephanie;https://open.spotify.com/track/3VDN1zMDxKq4jasT0REjgF;
Ikaw Na Na Na;VXON;2022;Single;Jonathan Manalo;https://open.spotify.com/track/2vF8xHqkN0FfCb4GhdT6sH;
Dulo;VXON;2023;Single;;https://open.spotify.com/track/3uXshIhPKgR1xk3Dy6PZQA;
Breaking Bad;VXON;2023;Single;;https://open.spotify.com/track/5HxP9J6cKDw2h8kxdCNxYV;
PRETTY PLEASE;VXON;2023;Single;;https://open.spotify.com/track/0vJGPQoD1fHjFzVdHV0OQd;
Lisan;VXON;2023;Single;;https://open.spotify.com/track/5bCHLP9fO1X3QZBS5S3S7A;
Sandal;VXON;2023;Single;;https://open.spotify.com/track/7nw1GNqF5l2NiAlDqz9Vrd;
SSP (Saksak Sa Puso);VXON;2024;20:20;;https://open.spotify.com/track/4hNKQWQvHOOfxUR0IrGpYG;
Kalaw;VXON;2024;20:20;;https://open.spotify.com/track/5S7AISOEAtcMuvilke7m3u;
Gamu-Gamo;VXON;2024;20:20;MC Einstein;https://open.spotify.com/track/0YJU2OPvyc7sN1aXnsPij7;
Coco;VXON;2024;20:20;;https://open.spotify.com/track/1lZ5HCkSpSkciRJvXNjYCi;
O Kay Sarap;VXON;2024;20:20;G22 AJ;https://open.spotify.com/track/0DJwiudmJRXbRNhIiQz3IJ;
Miss Na Kita;VXON;2024;20:20;Zephanie;https://open.spotify.com/track/17JR3Q7Q9qT6teliv85N6S;
KNT (Kanta Ng Tanga);VXON;2024;20:20;;https://open.spotify.com/track/5tycG9kgSXRqAE52Q98C4W;
Lisan - Stripped Version;VXON;2024;20:20;;https://open.spotify.com/track/2rB0XZw93Ad9I7VhZxQDNW;
Sandal;VXON;2024;20:20;;https://open.spotify.com/track/2IbS52QrHRmdLStZ91cbGO;
MHWG;VXON;2024;Single;;https://open.spotify.com/track/3kP3zVFzJqVwXqLsMN5r5f;
Agila;VXON;2025;Single;;https://open.spotify.com/track/5ysB7vHCGwReqHGb3W0c6p;
TABI TABI;VXON;2025;Single;;https://open.spotify.com/track/4ZeZSlty4VVmgTAAmnUIEU;
Sh*t Sobrang Init;VXON;2025;Single;;https://open.spotify.com/track/3OuaxvtQy1QvBTZL5Z56XG;
Dapat Lang Ako Lang;VXON;2025;Single;;https://open.spotify.com/track/3eSZqzn9Ft9iE6FufedpGw;
pelikula;VXON;2026;Pasakalye;;https://open.spotify.com/track/0oJfnh4VKNasIDgzn9dUU6;
sikretong malupet;VXON;2026;Pasakalye;;https://open.spotify.com/track/5YZ4v3kTgKC0zgCKdodkCl;
taguan (tayo lang);VXON;2026;Pasakalye;;https://open.spotify.com/track/5UobXFGsM4K1RvAPApzbPX;
lamoba;VXON;2026;Pasakalye;;https://open.spotify.com/track/6PUoe3iWUMRd6oTKuaVfu5;
walang iba;VXON;2026;Pasakalye;;https://open.spotify.com/track/3zQUCfpTLyRzLAi2xAdH04;
